timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4
665584785,1-1,3999.0,8491.0,-342.0,10635.0,-61.0,-71.0,-47.0,-64.0,1151.0,1604.0,1443.0,1173.0
665589599,1-1,4077.0,8569.0,-381.0,10674.0,-62.0,-71.0,-49.0,-63.0,994.0,1627.0,1461.0,1025.0
665584450,1-1,4116.0,6899.0,-303.0,10596.0,-60.0,-71.0,-43.0,-65.0,1092.0,2146.0,1409.0,1034.0
665583818,1-1,4038.0,6899.0,-420.0,10635.0,-61.0,-71.0,-47.0,-64.0,1102.0,2092.0,1510.0,922.0
665585140,1-1,4385.0,9155.0,-420.0,10596.0,-56.0,-71.0,-45.0,-64.0,1005.0,1198.0,1548.0,1131.0
665589420,1-1,4077.0,8276.0,-1035.0,10596.0,-61.0,-71.0,-43.0,-64.0,1069.0,1547.0,1872.0,990.0
665587292,1-1,4077.0,7456.0,-333.0,10469.0,-61.0,-71.0,-45.0,-64.0,1036.0,1962.0,1464.0,1273.0
665588113,1-1,4077.0,8188.0,-342.0,10439.0,-61.0,-71.0,-44.0,-61.0,1054.0,1366.0,1455.0,1109.0
665583506,1-1,4116.0,6782.0,-264.0,10635.0,-60.0,-71.0,-47.0,-65.0,1063.0,2203.0,1434.0,1140.0
665588886,1-1,4116.0,7280.0,-421.0,10557.0,-61.0,-71.0,-47.0,-64.0,1047.0,2023.0,1568.0,1068.0
665583561,1-1,4057.0,6928.0,-450.0,10061.0,-61.0,-71.0,-48.0,-61.0,1003.0,2157.0,1563.0,1532.0
665587463,1-1,3960.0,8188.0,-303.0,10479.0,-61.0,-72.0,-48.0,-64.0,1123.0,1749.0,1480.0,1702.0
665585224,1-1,4077.0,9184.0,-303.0,10479.0,-60.0,-71.0,-47.0,-64.0,1050.0,1561.0,1495.0,1121.0
665583304,1-1,4066.0,12085.0,1.0,9941.0,-62.0,-73.0,-42.0,-67.0,139.0,153.0,243.0,57.0
665583617,1-1,4038.0,7954.0,-303.0,10596.0,-61.0,-71.0,-47.0,-60.0,1085.0,1824.0,1525.0,1055.0
665587406,1-1,4038.0,6928.0,-342.0,12126.0,-61.0,-71.0,-47.0,-61.0,1083.0,2263.0,1501.0,1406.0
665587529,1-1,4155.0,8950.0,-157.0,10518.0,-61.0,-71.0,-42.0,-64.0,1013.0,1447.0,1267.0,1202.0
665584143,1-1,3921.0,7104.0,-381.0,10479.0,-61.0,-72.0,-48.0,-63.0,1127.0,2043.0,1460.0,1068.0
665585943,1-1,4116.0,8950.0,-264.0,10518.0,-61.0,-71.0,-48.0,-64.0,1120.0,1274.0,1437.0,1211.0
665589495,1-1,4116.0,6811.0,-342.0,10283.0,-61.0,-71.0,-43.0,-63.0,1018.0,1938.0,1600.0,1168.0
665589360,1-1,3999.0,6928.0,-303.0,10557.0,-61.0,-71.0,-48.0,-64.0,1047.0,2149.0,1467.0,1010.0
665586615,1-1,3999.0,6870.0,-303.0,10596.0,-61.0,-71.0,-47.0,-64.0,1118.0,2222.0,1480.0,1031.0
665587303,1-1,3960.0,7661.0,-342.0,10479.0,-61.0,-71.0,-43.0,-64.0,1132.0,1938.0,1375.0,1191.0
665588697,1-1,4038.0,7925.0,-66.0,10635.0,-61.0,-71.0,-45.0,-64.0,1057.0,1956.0,1389.0,988.0
665583704,1-1,4038.0,7163.0,-293.0,10400.0,-60.0,-71.0,-43.0,-64.0,1102.0,1984.0,1493.0,1026.0
665588504,1-1,4038.0,8423.0,-264.0,10596.0,-60.0,-71.0,-42.0,-64.0,1087.0,1694.0,1319.0,969.0
665586102,1-1,4077.0,9184.0,-342.0,10478.0,-61.0,-71.0,-47.0,-63.0,1113.0,1275.0,1513.0,1194.0
665587262,1-1,4155.0,7895.0,-303.0,10557.0,-61.0,-71.0,-47.0,-64.0,1031.0,1990.0,1493.0,1218.0
665583943,1-1,4038.0,6899.0,-460.0,10518.0,-61.0,-71.0,-47.0,-64.0,1073.0,2315.0,1514.0,1028.0
665585784,1-1,4116.0,8305.0,-342.0,10557.0,-61.0,-71.0,-44.0,-62.0,1107.0,1696.0,1391.0,1271.0
665589123,1-1,3999.0,7016.0,-333.0,10674.0,-60.0,-71.0,-47.0,-64.0,1107.0,2204.0,1488.0,1143.0
665586451,1-1,4038.0,7280.0,-342.0,10596.0,-61.0,-71.0,-47.0,-64.0,1089.0,2129.0,1470.0,1111.0
665587058,1-1,3921.0,6782.0,-225.0,10518.0,-60.0,-71.0,-47.0,-65.0,1120.0,2374.0,1470.0,1079.0
665587420,1-1,4116.0,7134.0,-303.0,10557.0,-61.0,-71.0,-47.0,-64.0,1047.0,2185.0,1466.0,1246.0
665587435,1-1,4038.0,7251.0,-801.0,10518.0,-61.0,-71.0,-42.0,-64.0,2245.0,2107.0,1758.0,1294.0
665583663,1-1,3921.0,7280.0,-381.0,10518.0,-60.0,-71.0,-48.0,-64.0,1143.0,1560.0,1625.0,997.0
665583999,1-1,3960.0,6841.0,-381.0,10557.0,-61.0,-72.0,-47.0,-64.0,1142.0,2350.0,1474.0,891.0
665589405,1-1,,6870.0,-381.0,10518.0,,-71.0,-47.0,-64.0,,2115.0,1551.0,1016.0
665589629,1-1,4116.0,7983.0,-362.0,10713.0,-61.0,-70.0,-46.0,-63.0,1003.0,1147.0,1325.0,1092.0
665589584,1-1,4038.0,,-342.0,10244.0,-53.0,,-48.0,-63.0,1720.0,,1442.0,1138.0
665588771,1-1,4116.0,7690.0,-342.0,10596.0,-61.0,-71.0,-47.0,-63.0,1021.0,1993.0,1470.0,1073.0
665584156,1-1,3999.0,7104.0,-342.0,10635.0,-61.0,-72.0,-48.0,-64.0,1163.0,2031.0,1413.0,925.0
665589434,1-1,4038.0,6694.0,-342.0,10557.0,-61.0,-71.0,-47.0,-64.0,1046.0,1892.0,1470.0,1099.0
665583691,1-1,4077.0,6987.0,-342.0,10283.0,-60.0,-71.0,-48.0,-64.0,1095.0,2078.0,1586.0,1101.0
665583589,1-1,3999.0,8305.0,-421.0,10557.0,-60.0,-71.0,-47.0,-64.0,1151.0,1812.0,1686.0,1229.0
665584285,1-1,4038.0,7016.0,-303.0,10557.0,-60.0,-71.0,-42.0,-64.0,1059.0,2035.0,1610.0,1145.0
665585827,1-1,4038.0,9067.0,-183.0,10596.0,-61.0,-71.0,-45.0,-63.0,1129.0,1225.0,1425.0,1069.0
665586851,1-1,2644.0,6870.0,-391.0,10635.0,-50.0,-71.0,-45.0,-64.0,2918.0,2167.0,1513.0,1122.0
665583789,1-1,4385.0,6870.0,-381.0,10596.0,-55.0,-71.0,-47.0,-65.0,975.0,2118.0,1488.0,954.0
665584536,1-1,3373.0,8159.0,-264.0,10713.0,-50.0,-71.0,-48.0,-65.0,1500.0,1717.0,1416.0,914.0
