Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
1-1,0.00,0.00,-0.89,314.90
1-10,-5.40,0.00,0.48,-553.67
1-11,-6.00,0.00,-2.61,-263.67
1-2,-0.60,0.00,-5.99,1043.71
1-3,-1.20,0.00,2.53,392.83
1-4,-1.80,0.00,-2.51,-190.19
1-5,-2.40,0.00,4.76,241.86
1-6,-3.00,0.00,0.26,-87.48
1-7,-3.60,0.00,0.06,335.31
1-8,-4.20,0.00,0.78,-124.05
1-9,-4.80,0.00,-1.64,-356.26
10-1,0.00,5.40,1.20,22.65
10-11,-6.00,5.40,-1.16,559.71
11-1,0.00,6.00,2.50,-422.77
11-10,-5.40,6.00,-2.34,-3690.51
11-11,-6.00,6.00,2.28,-84.90
11-2,-0.60,6.00,-0.47,-818.62
11-3,-1.20,6.00,1.31,-262.09
11-4,-1.80,6.00,-1.69,-1253.16
11-5,-2.40,6.00,-0.26,-565.68
11-6,-3.00,6.00,-3.58,318.23
11-7,-3.60,6.00,1.25,349.56
11-8,-4.20,6.00,-2.80,638.81
11-9,-4.80,6.00,4.12,-181.23
2-1,0.00,0.60,1.81,15.84
2-11,-6.00,0.60,-1.72,-20.61
3-1,0.00,1.20,-6.96,149.17
3-11,-6.00,1.20,1.44,513.04
4-1,0.00,1.80,6.89,-147.88
4-11,-6.00,1.80,-3.94,1978.48
5-1,0.00,2.40,-0.70,1765.95
5-11,-6.00,2.40,-8.87,13.43
6-1,0.00,3.00,-1.93,309.76
6-10,-5.40,3.00,4.87,410.10
6-11,-6.00,3.00,-4.16,-340.94
6-2,-0.60,3.00,-0.88,2274.45
6-3,-1.20,3.00,-1.22,170.12
6-4,-1.80,3.00,-7.98,119.97
6-5,-2.40,3.00,5.61,-2444.26
6-6,-3.00,3.00,0.02,-90.77
6-7,-3.60,3.00,-2.64,-686.21
6-8,-4.20,3.00,2.34,-242.57
6-9,-4.80,3.00,-3.28,-726.50
7-1,0.00,3.60,-2.55,392.48
7-11,-6.00,3.60,2.56,212.11
8-1,0.00,4.20,3.06,15.47
8-11,-6.00,4.20,-5.72,-693.48
9-1,0.00,4.80,-0.42,-84.37
9-11,-6.00,4.80,-3.19,-1503.95
1-1,0.00,0.00,-4.23,-504.21
1-10,-5.40,0.00,-5.48,-787.80
1-11,-6.00,0.00,0.63,-437.03
1-2,-0.60,0.00,-0.67,38.09
1-3,-1.20,0.00,-2.24,597.51
1-4,-1.80,0.00,-5.82,413.83
1-5,-2.40,0.00,-7.90,-5705.88
1-6,-3.00,0.00,3.09,-142.32
1-7,-3.60,0.00,-0.22,90.32
1-8,-4.20,0.00,5.41,-104.55
1-9,-4.80,0.00,-2.70,47.47
10-1,0.00,5.40,-3.99,223.67
10-11,-6.00,5.40,-1.84,131.63
11-1,0.00,6.00,-2.25,-37.93
11-10,-5.40,6.00,-4.19,-1254.80
11-11,-6.00,6.00,-3.61,-114.41
11-2,-0.60,6.00,-2.88,596.26
11-3,-1.20,6.00,-1.22,-871.49
11-4,-1.80,6.00,-7.14,-637.26
11-5,-2.40,6.00,0.37,-585.94
11-6,-3.00,6.00,-6.09,-1047.66
11-7,-3.60,6.00,1.39,2736.25
11-8,-4.20,6.00,-4.30,-204.25
11-9,-4.80,6.00,-3.39,642.52
2-1,0.00,0.60,-3.71,227.90
2-11,-6.00,0.60,5.44,580.24
3-1,0.00,1.20,0.60,308.65
3-11,-6.00,1.20,0.99,-516.20
4-1,0.00,1.80,0.17,171.06
4-11,-6.00,1.80,2.03,-275.63
5-1,0.00,2.40,2.58,761.63
