Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
1-1,0.00,0.00,4.76,480.39
1-10,-5.40,0.00,2.66,1952.44
1-11,-6.00,0.00,-1.23,-454.65
1-2,-0.60,0.00,-5.74,1202.26
1-3,-1.20,0.00,-0.43,563.56
1-4,-1.80,0.00,-2.81,-69.76
1-5,-2.40,0.00,0.63,214.89
1-6,-3.00,0.00,-2.54,252.92
1-7,-3.60,0.00,2.60,-15.44
1-8,-4.20,0.00,-0.22,-182.07
1-9,-4.80,0.00,1.58,-58.51
10-1,0.00,5.40,-2.31,-201.33
10-11,-6.00,5.40,0.20,585.14
11-1,0.00,6.00,0.64,-423.83
11-10,-5.40,6.00,0.66,-3223.54
11-11,-6.00,6.00,3.40,187.52
11-2,-0.60,6.00,-2.72,485.02
11-3,-1.20,6.00,-2.50,-273.88
11-4,-1.80,6.00,0.50,-1345.43
11-5,-2.40,6.00,-0.92,-0.15
11-6,-3.00,6.00,1.91,99.21
11-7,-3.60,6.00,-0.21,-1015.53
11-8,-4.20,6.00,-1.99,402.84
11-9,-4.80,6.00,0.42,277.29
2-1,0.00,0.60,2.32,-42.85
2-11,-6.00,0.60,-1.75,1308.66
3-1,0.00,1.20,-2.89,-486.19
3-11,-6.00,1.20,2.86,573.38
4-1,0.00,1.80,1.86,357.43
4-11,-6.00,1.80,-2.96,2789.76
5-1,0.00,2.40,5.13,6.40
5-11,-6.00,2.40,-2.25,-210.84
6-1,0.00,3.00,-0.86,315.93
6-10,-5.40,3.00,2.05,317.79
6-11,-6.00,3.00,1.53,-91.17
6-2,-0.60,3.00,-1.98,1320.74
6-3,-1.20,3.00,1.24,336.56
6-4,-1.80,3.00,-5.48,-371.07
6-5,-2.40,3.00,4.20,915.59
6-6,-3.00,3.00,1.73,-34.26
6-7,-3.60,3.00,-3.11,3692.81
6-8,-4.20,3.00,1.57,-286.45
6-9,-4.80,3.00,3.23,-241.72
7-1,0.00,3.60,2.29,284.89
7-11,-6.00,3.60,0.16,-89.32
8-1,0.00,4.20,5.94,-86.04
8-11,-6.00,4.20,1.14,386.57
9-1,0.00,4.80,-0.86,61.79
9-11,-6.00,4.80,-0.38,-2016.90
1-1,0.00,0.00,-4.01,-665.19
1-10,-5.40,0.00,-3.66,2.68
1-11,-6.00,0.00,-4.36,-522.67
1-2,-0.60,0.00,-5.31,261.59
1-3,-1.20,0.00,-8.16,616.86
1-4,-1.80,0.00,-5.57,478.63
1-5,-2.40,0.00,-2.06,-5705.57
1-6,-3.00,0.00,-7.90,704.19
1-7,-3.60,0.00,0.94,284.29
1-8,-4.20,0.00,1.18,-460.61
1-9,-4.80,0.00,-7.18,350.36
10-1,0.00,5.40,1.06,317.37
10-11,-6.00,5.40,-5.52,621.55
11-1,0.00,6.00,0.30,-882.89
11-10,-5.40,6.00,6.94,147.45
11-11,-6.00,6.00,-4.87,-2592.95
11-2,-0.60,6.00,-4.01,1522.42
11-3,-1.20,6.00,4.01,-158.88
11-4,-1.80,6.00,-0.39,121.39
11-5,-2.40,6.00,3.53,-907.99
11-6,-3.00,6.00,-0.55,440.48
11-7,-3.60,6.00,2.76,2075.27
11-8,-4.20,6.00,4.28,-53.25
11-9,-4.80,6.00,3.50,-2367.60
2-1,0.00,0.60,-1.00,134.67
2-11,-6.00,0.60,4.11,257.28
3-1,0.00,1.20,2.45,352.10
3-11,-6.00,1.20,1.15,-226.85
4-1,0.00,1.80,0.95,82.89
4-11,-6.00,1.80,6.11,-375.15
5-1,0.00,2.40,-0.94,-444.77
5-11,-6.00,2.40,-5.23,-267.16
6-1,0.00,3.00,-4.04,-609.57
6-10,-5.40,3.00,2.74,-955.13
6-11,-6.00,3.00,-5.11,930.47
6-2,-0.60,3.00,-6.45,497.65
6-3,-1.20,3.00,3.28,148.11
6-4,-1.80,3.00,-0.28,-375.97
6-5,-2.40,3.00,-1.44,326.76
6-6,-3.00,3.00,-5.71,-581.30
6-7,-3.60,3.00,-2.98,542.38
6-8,-4.20,3.00,3.39,-408.25
6-9,-4.80,3.00,-2.35,-2076.96
7-1,0.00,3.60,2.28,583.74
7-11,-6.00,3.60,-2.45,-444.29
8-1,0.00,4.20,-4.69,356.36
8-11,-6.00,4.20,0.33,979.35
9-1,0.00,4.80,1.54,-829.61
9-11,-6.00,4.80,5.01,1780.65
1-1,0.00,0.00,1.45,-349.74
1-10,-5.40,0.00,1.95,-308.11
1-11,-6.00,0.00,2.91,999.86
1-2,-0.60,0.00,4.96,-61.27
1-3,-1.20,0.00,-1.01,-171.81
1-4,-1.80,0.00,1.58,633.30
1-5,-2.40,0.00,-1.66,-386.67
1-6,-3.00,0.00,-1.03,-241.32
1-7,-3.60,0.00,-1.97,-779.63
1-8,-4.20,0.00,0.84,-180.29
1-9,-4.80,0.00,-0.21,-227.68
10-1,0.00,5.40,1.83,866.90
10-11,-6.00,5.40,9.73,77.10
11-1,0.00,6.00,8.31,-672.85
11-10,-5.40,6.00,1.62,-541.03
11-11,-6.00,6.00,-1.46,-1340.46
11-2,-0.60,6.00,6.74,-360.59
11-3,-1.20,6.00,4.73,-528.99
11-4,-1.80,6.00,-0.83,-389.32
11-5,-2.40,6.00,-5.26,2152.57
11-6,-3.00,6.00,3.47,2606.74
11-7,-3.60,6.00,-2.16,335.21
11-8,-4.20,6.00,0.59,1464.63
11-9,-4.80,6.00,4.06,-539.14
2-1,0.00,0.60,3.24,821.56
2-11,-6.00,0.60,-9.52,-336.75
3-1,0.00,1.20,-1.12,-677.49
3-11,-6.00,1.20,4.79,-2609.19
4-1,0.00,1.80,-0.77,512.18
4-11,-6.00,1.80,-2.22,68.89
5-1,0.00,2.40,-5.68,502.01
5-11,-6.00,2.40,1.74,-411.91
6-1,0.00,3.00,4.87,-451.30
6-10,-5.40,3.00,-6.40,-93.40
6-11,-6.00,3.00,-1.43,397.76
6-2,-0.60,3.00,1.79,67.21
6-3,-1.20,3.00,-2.15,322.49
6-4,-1.80,3.00,-3.52,-2210.32
6-5,-2.40,3.00,0.67,108.64
6-6,-3.00,3.00,-1.49,-85.56
6-7,-3.60,3.00,-1.33,-400.13
6-8,-4.20,3.00,-0.63,-159.48
6-9,-4.80,3.00,-0.96,-371.45
7-1,0.00,3.60,-0.83,771.38
7-11,-6.00,3.60,0.95,-851.80
8-1,0.00,4.20,-1.20,285.27
8-11,-6.00,4.20,-9.34,-2305.27
9-1,0.00,4.80,-3.20,695.80
9-11,-6.00,4.80,1.47,546.15
1-1,0.00,0.00,-3.45,2353.81
1-10,-5.40,0.00,0.18,3819.81
1-11,-6.00,0.00,1.97,30.25
1-2,-0.60,0.00,1.96,642.11
1-3,-1.20,0.00,6.75,-98.59
