Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
CDAN,99.2857,0.1020,0.0090,0.0034,34.5918,1.4028,0.7811,0.0703,"[42, 6767, 123456]"
CDAN+dace,98.6395,0.0589,0.0199,0.0046,34.3878,4.0663,0.7129,0.0869,"[42, 67, 1024]"
CDAN+dace+gac,98.6395,0.2946,0.0192,0.0043,35.6463,5.7364,0.7224,0.1575,"[42, 67, 1024]"
CDAN+rssi_diff,98.7415,0.4822,0.0165,0.0041,38.4694,5.5927,0.7349,0.0123,"[42, 67, 1024]"
FusionCDAN,98.8095,0.4713,0.0175,0.0062,43.4354,0.2568,0.6009,0.0222,"[42, 67, 1024]"
CDAN+dace+rssi_diff,98.7755,0.4448,0.0161,0.0050,41.2585,4.0616,0.6067,0.0278,"[42, 67, 1024]"
FusionCDAN+rssi_diff,98.6735,0.3679,0.0177,0.0044,48.7075,1.3550,0.5226,0.0415,"[42, 67, 1024]"
FusionCDAN+dace,98.7755,0.1020,0.0233,0.0030,44.9660,4.3055,0.5577,0.0756,"[42, 67, 1024]"
FusionCDAN+dace+gac,98.6735,0.3679,0.0197,0.0026,47.5510,5.4941,0.5219,0.0646,"[42, 67, 1024]"
GACDAN,98.5374,0.5236,0.0241,0.0083,50.5442,2.2733,0.4654,0.0441,"[42, 67, 1024]"
