Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_1_2,97.4150,0.6946,0.0430,0.0061,36.7687,3.1638,0.8197,0.0319,"[42, 67, 1024]"
GeoSPA_1_3,95.1361,2.5188,0.0719,0.0313,37.6871,0.6639,0.7508,0.0563,"[42, 67, 1024]"
GeoSPA_1_4,97.9592,0.1767,0.0284,0.0095,45.1701,7.7041,0.7125,0.0471,"[42, 67, 1024]"
GeoSPA_2_3,97.1088,0.3280,0.0394,0.0033,33.1633,1.6705,0.7793,0.0346,"[42, 67, 1024]"
GeoSPA_2_4,97.4490,0.3535,0.0333,0.0072,31.0544,3.6853,0.8493,0.1340,"[42, 67, 1024]"
GeoSPA_3_4,97.1769,0.0589,0.0541,0.0111,39.4898,4.1159,0.7119,0.0435,"[42, 67, 1024]"
GeoSPA_1_2_3,98.1293,0.1559,0.0288,0.0029,44.8980,3.7506,0.5302,0.0556,"[42, 67, 1024]"
GeoSPA_1_2_4,98.6054,0.3280,0.0220,0.0077,46.0884,0.4124,0.5273,0.0759,"[42, 67, 1024]"
GeoSPA_1_3_4,97.7211,0.7167,0.0383,0.0086,49.1156,3.4063,0.6299,0.0280,"[42, 67, 1024]"
GeoSPA_2_3_4,98.3333,0.2124,0.0263,0.0054,35.5782,0.8678,0.6572,0.0231,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.8776,0.2041,0.0156,0.0025,47.7891,5.5105,0.5428,0.0323,"[42, 67, 1024]"

//GeoSPA-Net v6 500 epoch
GeoSPA_1,93.1973,2.7877,0.1350,0.0833,35.2721,6.8795,0.9914,0.1481,"[42, 67, 1024]"
GeoSPA_2,95.9864,0.8184,0.0603,0.0146,29.2517,3.9551,1.0132,0.0745,"[42, 67, 1024]"
GeoSPA_3,87.4490,5.1417,0.1987,0.0891,25.2721,3.8348,1.1691,0.0948,"[42, 67, 1024]"
GeoSPA_4,92.4490,1.3344,0.1264,0.0260,25.7143,2.8075,1.1415,0.0759,"[42, 67, 1024]"
GeoSPA_1_2,96.9048,1.7743,0.0418,0.0168,38.0952,2.9457,0.6491,0.1376,"[42, 67, 1024]"
GeoSPA_1_3,96.3605,0.3280,0.0545,0.0025,38.8776,3.4769,0.7473,0.0224,"[42, 67, 1024]"
GeoSPA_1_4,97.7211,0.2568,0.0365,0.0129,45.4422,5.4085,0.6956,0.0483,"[42, 67, 1024]"
GeoSPA_2_3,96.2585,0.2568,0.0567,0.0136,30.9184,4.6905,0.8495,0.1298,"[42, 67, 1024]"
