Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4,Diff_RSSI_1_2,Diff_RSSI_1_3,Diff_RSSI_1_4,Diff_RSSI_2_3,Diff_RSSI_2_4,Diff_RSSI_3_4
1767276231694,1-1,121,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3335.0,1005.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63.0,6577.0,1485.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-1050.0,589.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9497.0,207.0,7.0,8.0,87.5,2.0,-11.0,8.0,-13.0,6.0,19.0
1767276231901,1-1,120,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3374.0,949.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1416.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1129.0,650.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9262.0,392.0,7.0,8.0,87.5,3.0,-10.0,8.0,-13.0,5.0,18.0
1767276232108,1-1,120,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,947.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6655.0,1459.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-1480.0,816.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9262.0,395.0,7.0,8.0,87.5,3.0,-11.0,8.0,-14.0,5.0,19.0
1767276232317,1-1,122,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,899.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6655.0,1505.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-48.0,-1090.0,543.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9458.0,292.0,7.0,8.0,87.5,3.0,-13.0,8.0,-16.0,5.0,21.0
1767276232525,1-1,122,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3217.0,939.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1505.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-972.0,565.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9341.0,273.0,7.0,8.0,87.5,3.0,-11.0,8.0,-14.0,5.0,19.0
1767276232750,1-1,139,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3374.0,892.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6499.0,1495.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-816.0,514.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65.0,9419.0,338.0,7.0,8.0,87.5,3.0,-11.0,4.0,-14.0,1.0,15.0
1767276232923,1-1,104,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,900.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63.0,6577.0,1486.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-816.0,498.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9380.0,353.0,7.0,8.0,87.5,2.0,-11.0,7.0,-13.0,5.0,18.0
1767276233158,1-1,131,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3257.0,892.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6499.0,1495.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,91.0,552.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66.0,9458.0,315.0,7.0,8.0,87.5,3.0,-11.0,5.0,-14.0,2.0,16.0
1767276233369,1-1,134,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3335.0,860.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1484.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-43.0,-1342.0,726.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9458.0,243.0,7.0,8.0,87.5,3.0,-18.0,7.0,-21.0,4.0,25.0
1767276233569,1-1,117,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,962.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6577.0,1541.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1246.0,680.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9380.0,271.0,7.0,8.0,87.5,3.0,-10.0,7.0,-13.0,4.0,17.0
