Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4
1767281462289,7-1,133,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3960,996,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,2446,1356,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,550,424,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9262,1186,7,8,87.5
1767281462466,7-1,104,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3999,627,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,2973,152,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,983,724,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9341,1207,7,8,87.5
1767281462684,7-1,115,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4038,425,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,3413,119,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,1234,659,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9067,1360,7,8,87.5
1767281462929,7-1,152,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4155,282,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,3501,99,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,511,539,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9106,1379,7,8,87.5
1767281463100,7-1,116,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,4116,480,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,3413,1971,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-35,801,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9262,1201,7,8,87.5
1767281463334,7-1,143,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4116,476,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,3266,1934,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,316,670,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9262,1089,7,8,87.5
1767281463552,7-1,154,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4077,344,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,3091,1958,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,501,450,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9341,1019,7,8,87.5
1767281463746,7-1,141,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,4077,350,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,2944,530,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,304,529,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,8940,323,7,8,87.5
1767281463904,7-1,94,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,4155,282,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,2739,403,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,394,442,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9223,1050,7,8,87.5
1767281464152,7-1,135,MCSLab RTT AP1,24:29:34:e2:4c:36,-63,4116,363,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,3032,124,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,1178,719,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9106,1313,7,8,87.5
