Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
Fusion_RTT_1_4,98.5714,0.0209,28.3673,1.1019,"[42, 6767, 123456]"
Fusion_RTT_2_3,97.8231,0.0279,25.7483,1.0658,"[42, 6767, 123456]"
Fusion_RTT_2_4,97.8231,0.0274,22.1088,1.2338,"[42, 6767, 123456]"
Fusion_RTT_3_4,98.0612,0.0363,29.2517,1.1919,"[42, 6767, 123456]"
Fusion_RTT_1,97.0748,0.0457,28.0952,1.1512,"[42, 6767, 123456]"
Fusion_RTT_2,97.4830,0.0372,20.5102,1.3354,"[42, 6767, 123456]"
Fusion_RTT_3,96.5646,0.0721,22.7551,1.3337,"[42, 6767, 123456]"
Fusion_RTT_4,96.9388,0.0517,25.2041,1.2599,"[42, 6767, 123456]"

// 2026/1/14
Fusion_RTT_1,97.9252,0.0361,22.3810,1.2523,"[42, 6767, 123456]"
Fusion_RTT_2,97.6190,0.0352,26.8367,1.4228,"[42, 6767, 123456]"
Fusion_RTT_3,96.3605,0.0673,18.0612,1.5195,"[42, 6767, 123456]"
Fusion_RTT_4,96.7347,0.0574,20.0340,1.5932,"[42, 6767, 123456]"
Fusion_RTT_1_2,98.8435,0.0170,32.8912,1.0630,"[42, 6767, 123456]"
Fusion_RTT_1_3,97.9592,0.0332,29.0476,1.0810,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.5714,0.0198,26.6327,1.1819,"[42, 6767, 123456]"
Fusion_RTT_2_3,97.9932,0.0260,25.6803,1.2056,"[42, 6767, 123456]"
Fusion_RTT_2_4,98.2313,0.0237,21.5306,1.3725,"[42, 6767, 123456]"
Fusion_RTT_3_4,97.8912,0.0397,20.2041,1.5873,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,98.8435,0.0139,33.5034,0.9477,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,99.0476,0.0142,35.5102,0.9854,"[42, 6767, 123456]"
