Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
1-1,0.00,0.00,4.30,964.48
1-10,-5.40,0.00,0.64,-323.79
1-11,-6.00,0.00,-4.47,12.51
1-2,-0.60,0.00,-5.11,504.55
1-3,-1.20,0.00,2.30,597.04
1-4,-1.80,0.00,2.22,494.57
1-5,-2.40,0.00,-0.26,168.50
1-6,-3.00,0.00,-2.95,425.93
1-7,-3.60,0.00,-1.37,-405.36
1-8,-4.20,0.00,1.81,-76.89
1-9,-4.80,0.00,-2.25,-78.06
10-1,0.00,5.40,1.29,-343.94
10-11,-6.00,5.40,-1.66,387.77
11-1,0.00,6.00,8.08,1468.68
11-10,-5.40,6.00,7.75,-3914.00
11-11,-6.00,6.00,0.02,-60.59
11-2,-0.60,6.00,-1.11,-250.27
11-3,-1.20,6.00,1.45,56.28
11-4,-1.80,6.00,4.28,-1046.27
11-5,-2.40,6.00,-6.73,-1891.93
11-6,-3.00,6.00,2.48,268.26
11-7,-3.60,6.00,2.81,-871.21
11-8,-4.20,6.00,2.90,1334.09
11-9,-4.80,6.00,-6.31,-104.41
2-1,0.00,0.60,2.02,-249.48
2-11,-6.00,0.60,-1.94,452.89
3-1,0.00,1.20,1.37,-158.90
3-11,-6.00,1.20,1.06,76.55
4-1,0.00,1.80,6.61,1407.67
4-11,-6.00,1.80,-2.29,1443.57
5-1,0.00,2.40,3.65,1223.70
5-11,-6.00,2.40,-4.42,-108.95
6-1,0.00,3.00,4.31,-455.71
6-10,-5.40,3.00,6.00,170.81
6-11,-6.00,3.00,-3.68,155.04
6-2,-0.60,3.00,4.16,728.95
6-3,-1.20,3.00,-7.07,-174.33
6-4,-1.80,3.00,-5.44,-1271.48
6-5,-2.40,3.00,9.95,-446.27
6-6,-3.00,3.00,-0.08,-213.53
6-7,-3.60,3.00,-8.70,-746.57
6-8,-4.20,3.00,0.60,101.84
6-9,-4.80,3.00,-6.13,-881.86
7-1,0.00,3.60,0.58,1006.04
7-11,-6.00,3.60,7.52,324.25
8-1,0.00,4.20,1.30,-476.00
8-11,-6.00,4.20,-3.38,-328.65
