Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.3199    | 3.6336     | 5.5564     | 3.6890     | 0.4409     | 3.0718       | 3.7009       |             | 2.4753   | 6.773  
2      | 12.0563    | 3.0418     | 5.4129     | 3.3519     | 0.2497     | 2.6557       | 3.0058       |             | 2.3123   | 5.661  
3      | 11.0033    | 2.8279     | 5.2966     | 2.6740     | 0.2047     | 2.4105       | 2.3932       |             | 2.1108   | 4.804  
4      | 10.1534    | 2.6464     | 5.1363     | 2.2010     | 0.1697     | 2.1108       | 2.0105       |             | 1.8793   | 4.121  
5      | 9.3687     | 2.4135     | 4.9556     | 1.8535     | 0.1461     | 1.8911       | 1.5499       |             | 1.9362   | 3.441  
6      | 8.5612     | 2.2153     | 4.6880     | 1.5203     | 0.1376     | 1.5953       | 1.1974       |             | 1.9493   | 2.793  
7      | 7.8673     | 1.9967     | 4.4299     | 1.3075     | 0.1332     | 1.3256       | 1.0136       |             | 1.9128   | 2.339  
8      | 7.1890     | 1.8050     | 4.1696     | 1.0870     | 0.1274     | 1.0908       | 0.9115       |             | 1.8951   | 2.002  
9      | 6.5245     | 1.6353     | 3.8168     | 0.9609     | 0.1115     | 1.0879       | 0.7605       |             | 1.9697   | 1.848  
10     | 6.0021     | 1.4724     | 3.5166     | 0.8986     | 0.1146     | 0.8955       | 0.6906       |             | 1.9095   | 1.586  
11     | 5.4442     | 1.3726     | 3.1978     | 0.7680     | 0.1058     | 0.7753       | 0.6217       |             | 1.8992   | 1.397  
12     | 5.1070     | 1.2727     | 2.9881     | 0.7436     | 0.1025     | 0.8474       | 0.4706       |             | 1.8911   | 1.318  
