Mode: Fusion | Features: RSSI(4) + RTT(4)
Model Input Dimension: 8
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
46     | 4.1483     | 0.5734     | 2.9481     | 0.5129     | 0.1139     | 0.1055       | 0.1951       |             | 1.5450   | 0.301  
47     | 3.8188     | 0.5914     | 2.6458     | 0.4769     | 0.1048     | 0.1046       | 0.2650       |             | 1.4866   | 0.370  
48     | 4.0149     | 0.5649     | 2.8597     | 0.4860     | 0.1044     | 0.1024       | 0.2718       |             | 1.4130   | 0.374  
49     | 4.4408     | 0.5842     | 3.2485     | 0.5056     | 0.1023     | 0.0998       | 0.2517       |             | 1.3143   | 0.352  
50     | 4.8767     | 0.6211     | 3.5941     | 0.5505     | 0.1110     | 0.1044       | 0.4116       |             | 1.3511   | 0.516  
51     | 5.3016     | 0.6406     | 3.9446     | 0.5984     | 0.1180     | 0.1058       | 0.4099       |             | 1.2994   | 0.516  
52     | 5.7216     | 0.7119     | 4.2609     | 0.6301     | 0.1187     | 0.1174       | 0.3858       |             | 1.2227   | 0.503  
53     | 5.1324     | 0.6216     | 3.8479     | 0.5497     | 0.1132     | 0.1095       | 0.3520       |             | 1.2376   | 0.461  
54     | 4.9883     | 0.5941     | 3.7327     | 0.5485     | 0.1130     | 0.0937       | 0.3015       |             | 1.2069   | 0.395  
55     | 4.9142     | 0.5521     | 3.6699     | 0.5745     | 0.1177     | 0.0682       | 0.3186       |             | 1.1908   | 0.387  
56     | 4.6086     | 0.5475     | 3.4166     | 0.5302     | 0.1143     | 0.0805       | 0.3265       |             | 1.1547   | 0.407  
57     | 4.5613     | 0.5276     | 3.4115     | 0.5112     | 0.1110     | 0.0992       | 0.2440       |             | 1.1995   | 0.343  
58     | 4.5436     | 0.5369     | 3.4087     | 0.4919     | 0.1060     | 0.0845       | 0.2753       |             | 1.2022   | 0.360  
59     | 4.5000     | 0.5072     | 3.3959     | 0.4862     | 0.1107     | 0.0833       | 0.3048       |             | 1.1946   | 0.388  
60     | 4.3416     | 0.4993     | 3.2663     | 0.4699     | 0.1061     | 0.0944       | 0.2198       |             | 1.1673   | 0.314  
