Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.2334    | 3.6503     | 5.5116     | 3.6624     | 0.4091     | 3.1045       | 3.5958       |             | 2.2311   | 6.700  
2      | 11.9452    | 3.1041     | 5.3790     | 3.2375     | 0.2247     | 2.7018       | 3.0614       |             | 2.3647   | 5.763  
3      | 10.9416    | 2.9315     | 5.2751     | 2.5390     | 0.1960     | 2.6632       | 2.1583       |             | 2.3694   | 4.822  
4      | 10.0233    | 2.8943     | 5.1454     | 1.8320     | 0.1516     | 2.4230       | 1.7640       |             | 2.4624   | 4.187  
5      | 9.2232     | 2.6895     | 4.9501     | 1.4613     | 0.1224     | 2.1466       | 1.3240       |             | 2.4455   | 3.471  
6      | 8.4201     | 2.4226     | 4.6670     | 1.2228     | 0.1078     | 1.8870       | 1.1070       |             | 2.4367   | 2.994  
7      | 7.7284     | 2.1990     | 4.3595     | 1.0552     | 0.1148     | 1.7020       | 0.8643       |             | 2.4083   | 2.566  
8      | 7.1533     | 2.0253     | 4.0584     | 0.9710     | 0.0985     | 1.4614       | 0.7954       |             | 2.3697   | 2.257  
9      | 6.5125     | 1.8008     | 3.7458     | 0.8686     | 0.0972     | 1.2674       | 0.8209       |             | 2.3569   | 2.088  
10     | 5.8674     | 1.6546     | 3.3596     | 0.7618     | 0.0915     | 1.0248       | 0.7917       |             | 2.3350   | 1.817  
11     | 5.5489     | 1.5358     | 3.1575     | 0.7623     | 0.0933     | 0.8854       | 0.8496       |             | 2.2831   | 1.735  
12     | 5.0875     | 1.4454     | 2.8678     | 0.6805     | 0.0939     | 0.9281       | 0.5631       |             | 2.2469   | 1.491  
13     | 4.6763     | 1.3784     | 2.5841     | 0.6296     | 0.0843     | 0.7223       | 0.7046       |             | 2.1695   | 1.427  
14     | 4.3152     | 1.2812     | 2.3662     | 0.5813     | 0.0865     | 0.8040       | 0.5278       |             | 2.2218   | 1.332  
15     | 4.0896     | 1.1919     | 2.2388     | 0.5761     | 0.0829     | 0.6228       | 0.6292       |             | 2.2524   | 1.252  
16     | 3.7613     | 1.1238     | 2.0410     | 0.5196     | 0.0770     | 0.7107       | 0.4890       |             | 2.2139   | 1.200  
17     | 3.6873     | 1.1036     | 1.9950     | 0.5111     | 0.0777     | 0.6504       | 0.4957       |             | 2.2950   | 1.146  
18     | 3.6286     | 1.0785     | 1.9852     | 0.4927     | 0.0722     | 0.7507       | 0.3847       |             | 2.2737   | 1.135  
19     | 3.4319     | 0.9944     | 1.9137     | 0.4455     | 0.0784     | 0.5529       | 0.5326       |             | 2.1334   | 1.085  
20     | 3.5072     | 1.0436     | 1.9432     | 0.4421     | 0.0783     | 0.7153       | 0.3418       |             | 2.2356   | 1.057  
21     | 3.4730     | 1.0041     | 1.9434     | 0.4512     | 0.0743     | 0.7040       | 0.5153       |             | 2.1900   | 1.219  
22     | 3.4604     | 1.0106     | 1.9069     | 0.4666     | 0.0763     | 0.4861       | 0.4985       |             | 2.1445   | 0.985  
23     | 3.2844     | 0.9851     | 1.7579     | 0.4613     | 0.0801     | 0.5893       | 0.3921       |             | 2.1727   | 0.981  
24     | 3.2634     | 0.9590     | 1.7886     | 0.4397     | 0.0761     | 0.5812       | 0.4037       |             | 2.1817   | 0.985  
25     | 3.0758     | 0.9037     | 1.6912     | 0.4078     | 0.0731     | 0.5663       | 0.3688       |             | 2.1502   | 0.935  
26     | 3.1916     | 0.8765     | 1.8166     | 0.4255     | 0.0730     | 0.5210       | 0.5120       |             | 2.1327   | 1.033  
27     | 3.1760     | 0.9088     | 1.7734     | 0.4218     | 0.0719     | 0.4900       | 0.4263       |             | 2.1226   | 0.916  
28     | 2.8894     | 0.8629     | 1.5637     | 0.3941     | 0.0687     | 0.3212       | 0.5305       |             | 1.9964   | 0.852  
29     | 2.8057     | 0.8520     | 1.4877     | 0.3894     | 0.0767     | 0.5112       | 0.3699       |             | 2.0882   | 0.881  
30     | 3.0533     | 0.8926     | 1.6968     | 0.3849     | 0.0790     | 0.5972       | 0.2911       |             | 2.2265   | 0.888  
31     | 3.2369     | 0.8806     | 1.8542     | 0.4238     | 0.0782     | 0.4010       | 0.4267       |             | 2.1886   | 0.828  
32     | 3.3022     | 0.8399     | 1.9653     | 0.4177     | 0.0793     | 0.4378       | 0.4532       |             | 2.1507   | 0.891  
33     | 3.0240     | 0.8141     | 1.7492     | 0.3871     | 0.0736     | 0.6099       | 0.2910       |             | 2.1374   | 0.901  
34     | 3.4462     | 0.9055     | 2.0519     | 0.4099     | 0.0789     | 0.4439       | 0.3944       |             | 2.0900   | 0.838  
35     | 3.1010     | 0.8073     | 1.8129     | 0.4022     | 0.0787     | 0.2897       | 0.5618       |             | 1.8283   | 0.851  
36     | 3.3732     | 0.8237     | 2.0531     | 0.4155     | 0.0810     | 0.3527       | 0.3858       |             | 2.0224   | 0.739  
37     | 3.6946     | 0.8468     | 2.3027     | 0.4602     | 0.0850     | 0.5661       | 0.3129       |             | 2.0063   | 0.879  
38     | 3.8358     | 0.8621     | 2.4483     | 0.4380     | 0.0873     | 0.2602       | 0.5516       |             | 1.9586   | 0.812  
39     | 3.9757     | 0.8596     | 2.5319     | 0.4842     | 0.1000     | 0.2429       | 0.5136       |             | 1.8312   | 0.757  
40     | 3.7503     | 0.7976     | 2.3809     | 0.4786     | 0.0932     | 0.3122       | 0.3665       |             | 1.8913   | 0.679  
41     | 3.7620     | 0.8064     | 2.3920     | 0.4727     | 0.0910     | 0.3752       | 0.4004       |             | 1.8348   | 0.776  
42     | 3.8757     | 0.8280     | 2.4503     | 0.5007     | 0.0967     | 0.2869       | 0.5594       |             | 1.7926   | 0.846  
43     | 4.1978     | 0.8609     | 2.7173     | 0.5156     | 0.1040     | 0.2504       | 0.5508       |             | 1.7174   | 0.801  
44     | 4.5934     | 0.8893     | 3.0512     | 0.5498     | 0.1031     | 0.3398       | 0.4685       |             | 1.8556   | 0.808  
