==========================================
Experiment: FusionDANN_1_2_3_4
RSSI Features (6): Fixed
RTT Features (4): ['Dist_mm_1', 'Dist_mm_2', 'Dist_mm_3', 'Dist_mm_4']
==========================================
Start Training Seed 42...

Start Training... (Validate on Source Val & Target Val)
Epoch  | Total Loss | Train Cls  | Train D_RSSI | Train D_RTT | Val S Acc  | Val T Entropy | Save        | Test MDE | Score  
46     | 2.5308     | 0.3611     | 1.1498       | 1.0198      | 0.9865     | 1.1177     |             | 0.9097   | 0.428  
47     | 2.5071     | 0.3891     | 1.1079       | 1.0100      | 0.9896     | 1.0801     | (ADV 0.45)  | 0.8201   | 0.450  
48     | 2.5260     | 0.3844     | 1.1352       | 1.0065      | 0.9906     | 1.0849     |             | 0.8522   | 0.448  
49     | 2.6014     | 0.3985     | 1.1520       | 1.0508      | 0.9896     | 1.1051     |             | 0.9188   | 0.437  
50     | 2.5680     | 0.3706     | 1.1515       | 1.0459      | 0.9896     | 1.0604     | (ADV 0.46)  | 0.8368   | 0.459  
51     | 2.5050     | 0.3493     | 1.1377       | 1.0180      | 0.9906     | 1.0573     | (ADV 0.46)  | 0.8874   | 0.462  
52     | 2.4939     | 0.3486     | 1.1442       | 1.0011      | 0.9896     | 1.0657     |             | 0.8779   | 0.457  
53     | 2.4922     | 0.3411     | 1.1356       | 1.0155      | 0.9917     | 1.0741     |             | 0.8610   | 0.455  
54     | 2.5187     | 0.3465     | 1.1120       | 1.0602      | 0.9875     | 1.0702     |             | 0.9147   | 0.452  
55     | 2.5269     | 0.3374     | 1.1241       | 1.0655      | 0.9917     | 1.0243     | (ADV 0.48)  | 0.9175   | 0.479  
56     | 2.5280     | 0.3636     | 1.1055       | 1.0589      | 0.9896     | 0.9673     | (ADV 0.51)  | 0.9086   | 0.506  
57     | 2.6050     | 0.3615     | 1.1376       | 1.1059      | 0.9896     | 1.0350     |             | 0.9573   | 0.472  
58     | 2.6095     | 0.3589     | 1.1525       | 1.0981      | 0.9906     | 1.0009     |             | 0.8998   | 0.490  
59     | 2.5315     | 0.3170     | 1.1575       | 1.0570      | 0.9906     | 0.9769     |             | 0.9149   | 0.502  
60     | 2.6652     | 0.3845     | 1.1870       | 1.0937      | 0.9906     | 0.9780     |             | 0.8706   | 0.502  
