Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4,Diff_RSSI_1_2,Diff_RSSI_1_3,Diff_RSSI_1_4,Diff_RSSI_2_3,Diff_RSSI_2_4,Diff_RSSI_3_4
1772715175757,1-1,86,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3257.0,1763.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,6655.0,1137.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1246.0,1562.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72.0,11128.0,1084.0,7.0,8.0,87.5,7.0,-9.0,12.0,-16.0,5.0,21.0
1772715176000,1-1,123,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3413.0,1975.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,6928.0,1005.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1168.0,1238.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72.0,11157.0,1363.0,7.0,8.0,87.5,7.0,-9.0,12.0,-16.0,5.0,21.0
1772715176203,1-1,119,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3374.0,1745.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,6694.0,1263.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1138.0,1451.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,11040.0,1249.0,7.0,8.0,87.5,7.0,-8.0,13.0,-15.0,6.0,21.0
1772715176408,1-1,117,MCSLab RTT AP1,24:29:34:e2:4c:36,-59.0,3335.0,1535.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6577.0,1510.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-1090.0,1794.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,10806.0,1175.0,7.0,8.0,87.5,9.0,-10.0,14.0,-19.0,5.0,24.0
1772715176613,1-1,116,MCSLab RTT AP1,24:29:34:e2:4c:36,-59.0,3374.0,1603.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6655.0,1285.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-1051.0,1437.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72.0,10952.0,1156.0,7.0,8.0,87.5,9.0,-9.0,13.0,-18.0,4.0,22.0
1772715176818,1-1,115,MCSLab RTT AP1,24:29:34:e2:4c:36,-59.0,3178.0,1627.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6577.0,1165.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1129.0,1549.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-71.0,11040.0,1119.0,7.0,8.0,87.5,9.0,-8.0,12.0,-17.0,3.0,20.0
1772715177023,1-1,113,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3178.0,1542.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,6421.0,1311.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-1011.0,1709.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,11069.0,1119.0,7.0,8.0,87.5,7.0,-11.0,13.0,-18.0,6.0,24.0
1772715177227,1-1,112,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3374.0,1399.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6655.0,1328.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-972.0,1617.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-74.0,11186.0,1126.0,7.0,8.0,87.5,8.0,-11.0,14.0,-19.0,6.0,25.0
1772715177431,1-1,110,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3178.0,1540.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6616.0,1334.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-972.0,1716.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-74.0,10893.0,1188.0,7.0,8.0,87.5,8.0,-11.0,14.0,-19.0,6.0,25.0
1772715177648,1-1,117,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3296.0,1728.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,6733.0,986.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1051.0,1653.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-74.0,10923.0,1288.0,7.0,8.0,87.5,7.0,-8.0,14.0,-15.0,7.0,22.0
1772715177843,1-1,107,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3217.0,1882.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6616.0,1221.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1051.0,1538.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,10806.0,1505.0,7.0,8.0,87.5,8.0,-9.0,13.0,-17.0,5.0,22.0
1772715178046,1-1,104,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3296.0,1903.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,6460.0,1146.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1090.0,647.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,10952.0,1467.0,7.0,8.0,87.5,7.0,-9.0,13.0,-16.0,6.0,22.0
1772715178250,1-1,103,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3374.0,1978.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,7006.0,870.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1246.0,653.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72.0,10776.0,1557.0,7.0,8.0,87.5,7.0,-9.0,12.0,-16.0,5.0,21.0
1772715178456,1-1,103,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3413.0,2064.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,7085.0,896.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1285.0,552.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72.0,10659.0,1558.0,7.0,8.0,87.5,8.0,-9.0,12.0,-17.0,4.0,21.0
