Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_2,95.7483,0.8497,0.0705,0.0192,27.2109,3.9340,1.1419,0.0543,"[42, 67, 1024]"
GeoSPA_3,93.3333,1.1827,0.1112,0.0199,31.8027,2.6221,0.9390,0.0585,"[42, 67, 1024]"
GeoSPA_4,94.5918,0.2041,0.0863,0.0113,28.7415,1.6369,1.1411,0.0319,"[42, 67, 1024]"
GeoSPA_1_2,97.5850,0.5620,0.0378,0.0108,41.6667,3.4968,0.7355,0.1606,"[42, 67, 1024]"
GeoSPA_1_3,95.7823,1.4298,0.0622,0.0234,41.1565,2.0442,0.6828,0.0570,"[42, 67, 1024]"
GeoSPA_1_4,97.7551,0.5399,0.0374,0.0090,45.2721,4.7230,0.7390,0.1082,"[42, 67, 1024]"
GeoSPA_2_3,97.2789,0.6151,0.0406,0.0072,34.7959,5.9210,0.7791,0.1000,"[42, 67, 1024]"
GeoSPA_2_4,97.7551,0.5102,0.0318,0.0069,33.0952,2.3916,0.8133,0.0479,"[42, 67, 1024]"
GeoSPA_3_4,96.7347,0.1767,0.0672,0.0032,34.7959,4.9498,0.9171,0.0677,"[42, 67, 1024]"
GeoSPA_1_2_3,97.9252,0.2568,0.0270,0.0041,45.9864,3.5131,0.5334,0.0176,"[42, 67, 1024]"
GeoSPA_1_2_4,98.6054,0.3584,0.0202,0.0076,43.3673,5.5130,0.5929,0.1026,"[42, 67, 1024]"
GeoSPA_1_3_4,97.7551,0.6207,0.0378,0.0014,49.4898,2.5016,0.6286,0.0270,"[42, 67, 1024]"
GeoSPA_2_3_4,97.7211,0.6151,0.0357,0.0090,37.1769,2.3209,0.6695,0.0601,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.6395,0.0589,0.0200,0.0036,51.2585,0.8311,0.4965,0.0218,"[42, 67, 1024]"

// version 2 s:2026-1-1 t:2026-2-4 (40) all rtt combo 500 epochs seed testing
GeoSPA_1,95.1224,0.7047,0.0776,0.0184,38.1429,2.8447,0.8766,0.0808,"[10, 99, 6767, 423, 123456]"
