Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
DNN_Fusion_RTT_2,98.6168,0.0192,20.6633,1.3279,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,22.5283,1.3104,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,21.3265,1.3190,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,29.4785,1.0805,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,26.9728,1.1380,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,26.7347,1.1002,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,25.2778,1.1229,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,22.2222,1.2090,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,24.7789,1.3299,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,29.2517,0.9960,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,30.5952,1.0223,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,27.6077,1.1209,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,28.0215,1.1097,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,29.8469,1.0079,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,20.9014,2.4774,"[42, 6767, 123456]"
DNN_Only_RTT_2,38.5091,1.8638,9.6882,2.6541,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,11.4059,2.4820,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,6.6270,2.8309,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,23.2766,1.8426,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,30.9184,1.3410,"[42, 6767, 123456]"
