Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.2761    | 3.5757     | 5.5468     | 3.6976     | 0.4560     | 3.0149       | 3.7523       |             | 1.8816   | 6.767  
2      | 12.0387    | 2.8897     | 5.4028     | 3.4906     | 0.2556     | 2.4305       | 3.3623       |             | 1.2146   | 5.793  
3      | 10.9818    | 2.5241     | 5.2962     | 2.9588     | 0.2027     | 2.0653       | 2.7334       |             | 1.4103   | 4.799  
4      | 9.9030     | 2.3257     | 5.1535     | 2.2611     | 0.1626     | 1.8345       | 1.8511       |             | 1.4714   | 3.686  
5      | 8.9354     | 2.1190     | 4.9396     | 1.7317     | 0.1452     | 1.5084       | 1.3935       |             | 1.5097   | 2.902  
6      | 8.1646     | 1.9562     | 4.6929     | 1.3870     | 0.1284     | 1.2668       | 1.0766       |             | 1.4921   | 2.343  
7      | 7.3218     | 1.7049     | 4.3221     | 1.1726     | 0.1221     | 1.0319       | 0.8768       |             | 1.4736   | 1.909  
8      | 6.6114     | 1.5501     | 3.9465     | 0.9967     | 0.1181     | 0.9603       | 0.7050       |             | 1.5184   | 1.665  
9      | 5.8126     | 1.3780     | 3.4975     | 0.8334     | 0.1037     | 0.7677       | 0.6140       |             | 1.5182   | 1.382  
10     | 5.2063     | 1.2795     | 3.0882     | 0.7349     | 0.1038     | 0.6153       | 0.6356       |             | 1.4834   | 1.251  
11     | 4.7386     | 1.1894     | 2.7797     | 0.6662     | 0.1034     | 0.6417       | 0.5189       |             | 1.5344   | 1.161  
12     | 4.2038     | 1.0990     | 2.4286     | 0.5756     | 0.1007     | 0.5803       | 0.4375       |             | 1.4989   | 1.018  
13     | 3.9967     | 1.0288     | 2.2824     | 0.5879     | 0.0977     | 0.4766       | 0.3928       |             | 1.5455   | 0.869  
14     | 3.3791     | 0.9295     | 1.8801     | 0.4772     | 0.0923     | 0.4875       | 0.4061       |             | 1.5388   | 0.894  
15     | 3.3325     | 0.9265     | 1.8253     | 0.4871     | 0.0935     | 0.4163       | 0.3683       |             | 1.5484   | 0.785  
16     | 3.0193     | 0.8467     | 1.6217     | 0.4555     | 0.0954     | 0.5048       | 0.2925       |             | 1.5488   | 0.797  
17     | 2.9424     | 0.8530     | 1.5674     | 0.4336     | 0.0885     | 0.3412       | 0.3565       |             | 1.5362   | 0.698  
18     | 2.5637     | 0.7661     | 1.3435     | 0.3731     | 0.0810     | 0.2888       | 0.4136       |             | 1.5333   | 0.702  
19     | 2.5946     | 0.7189     | 1.3882     | 0.4009     | 0.0865     | 0.3623       | 0.2715       |             | 1.5392   | 0.634  
20     | 2.5016     | 0.7541     | 1.2895     | 0.3766     | 0.0814     | 0.3024       | 0.3485       |             | 1.5366   | 0.651  
