Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
46     | 4.3251     | 0.6587     | 3.0476     | 0.5199     | 0.0989     | 0.1050       | 0.3357       |             | 1.6498   | 0.441  
47     | 4.1468     | 0.6217     | 2.9181     | 0.5172     | 0.0899     | 0.1076       | 0.3824       |             | 1.5224   | 0.490  
48     | 4.2411     | 0.6277     | 2.9735     | 0.5469     | 0.0930     | 0.0930       | 0.3915       |             | 1.3766   | 0.484  
49     | 3.7525     | 0.5633     | 2.6324     | 0.4707     | 0.0860     | 0.1169       | 0.2552       |             | 1.6378   | 0.372  
50     | 4.0630     | 0.6498     | 2.8620     | 0.4618     | 0.0894     | 0.1060       | 0.2090       |             | 1.6019   | 0.315  
51     | 4.1763     | 0.6335     | 2.9589     | 0.4956     | 0.0883     | 0.0901       | 0.2817       | (saved)     | 1.3161   | 0.372  
52     | 4.4061     | 0.6189     | 3.1809     | 0.5159     | 0.0905     | 0.1036       | 0.2542       | (saved)     | 1.4707   | 0.358  
53     | 4.3494     | 0.5900     | 3.1564     | 0.5115     | 0.0915     | 0.1318       | 0.3692       |             | 1.5498   | 0.501  
54     | 4.3216     | 0.5958     | 3.1097     | 0.5273     | 0.0888     | 0.1034       | 0.2941       |             | 1.4570   | 0.398  
55     | 4.3329     | 0.6263     | 3.1229     | 0.5004     | 0.0833     | 0.0880       | 0.3228       |             | 1.4341   | 0.411  
56     | 4.3827     | 0.5739     | 3.2019     | 0.5244     | 0.0824     | 0.1077       | 0.3336       |             | 1.2102   | 0.441  
57     | 4.7110     | 0.6283     | 3.4401     | 0.5546     | 0.0880     | 0.1119       | 0.2842       |             | 1.2747   | 0.396  
58     | 4.7103     | 0.6178     | 3.4668     | 0.5339     | 0.0918     | 0.0979       | 0.2848       |             | 1.3026   | 0.383  
59     | 4.6121     | 0.5991     | 3.4203     | 0.5042     | 0.0886     | 0.0785       | 0.2699       | (saved)     | 1.1986   | 0.348  
60     | 4.8909     | 0.6315     | 3.6215     | 0.5457     | 0.0922     | 0.0737       | 0.3520       |             | 1.2516   | 0.426  
61     | 4.9986     | 0.6499     | 3.7312     | 0.5236     | 0.0939     | 0.0834       | 0.2853       |             | 1.1773   | 0.369  
62     | 4.6729     | 0.5802     | 3.4895     | 0.5138     | 0.0894     | 0.0813       | 0.2687       |             | 1.2896   | 0.350  
63     | 4.5466     | 0.5755     | 3.3897     | 0.4947     | 0.0867     | 0.0733       | 0.3271       |             | 1.1126   | 0.400  
64     | 4.6379     | 0.5626     | 3.4809     | 0.5113     | 0.0831     | 0.0695       | 0.2657       | (saved)     | 1.0776   | 0.335  
65     | 4.6259     | 0.5555     | 3.5066     | 0.4842     | 0.0797     | 0.0686       | 0.2702       |             | 1.0419   | 0.339  
66     | 4.6557     | 0.5259     | 3.5581     | 0.4917     | 0.0799     | 0.0855       | 0.2576       |             | 1.0173   | 0.343  
67     | 5.1612     | 0.5791     | 3.9911     | 0.5113     | 0.0797     | 0.1194       | 0.3060       |             | 0.9756   | 0.425  
68     | 4.8211     | 0.5939     | 3.6516     | 0.4975     | 0.0780     | 0.0903       | 0.2566       |             | 1.0189   | 0.347  
69     | 4.8361     | 0.5473     | 3.7365     | 0.4732     | 0.0790     | 0.0875       | 0.2633       |             | 0.8777   | 0.351  
70     | 5.6259     | 0.6370     | 4.3733     | 0.5326     | 0.0830     | 0.0782       | 0.2548       | (saved)     | 0.8154   | 0.333  
71     | 5.2156     | 0.5723     | 4.0616     | 0.4996     | 0.0821     | 0.0819       | 0.2551       |             | 0.8639   | 0.337  
72     | 5.2337     | 0.5823     | 4.0665     | 0.4990     | 0.0859     | 0.1010       | 0.2627       |             | 0.8763   | 0.364  
73     | 5.4931     | 0.5875     | 4.2983     | 0.5186     | 0.0887     | 0.0777       | 0.2803       |             | 0.8304   | 0.358  
74     | 5.3912     | 0.5630     | 4.2176     | 0.5202     | 0.0904     | 0.1282       | 0.2579       |             | 0.8770   | 0.386  
75     | 5.4982     | 0.5668     | 4.3119     | 0.5329     | 0.0866     | 0.1202       | 0.2751       |             | 0.8095   | 0.395  
76     | 5.4616     | 0.5914     | 4.2879     | 0.4975     | 0.0848     | 0.0811       | 0.2729       |             | 0.8295   | 0.354  
77     | 5.2435     | 0.5724     | 4.0905     | 0.4957     | 0.0849     | 0.0825       | 0.2535       |             | 0.8738   | 0.336  
78     | 5.1579     | 0.5855     | 4.0261     | 0.4607     | 0.0855     | 0.0813       | 0.2869       |             | 0.9194   | 0.368  
