Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
46     | 7.5472     | 1.1502     | 5.2933     | 0.9969     | 0.1067     | 0.2923       | 0.7107       |             | 1.4828   | 1.003  
47     | 7.5321     | 1.0568     | 5.4068     | 0.9521     | 0.1163     | 0.2855       | 0.7547       |             | 1.5934   | 1.040  
48     | 7.0867     | 1.0296     | 5.0436     | 0.9034     | 0.1101     | 0.2498       | 0.6698       |             | 1.4864   | 0.920  
49     | 6.9481     | 0.9978     | 5.0042     | 0.8475     | 0.0986     | 0.2625       | 0.6173       |             | 1.4844   | 0.880  
50     | 6.5306     | 0.9807     | 4.6563     | 0.7972     | 0.0965     | 0.2775       | 0.5969       |             | 1.5566   | 0.874  
51     | 6.1971     | 0.8692     | 4.4628     | 0.7777     | 0.0875     | 0.2628       | 0.6618       | (saved)     | 1.4535   | 0.925  
52     | 6.4938     | 0.8626     | 4.7189     | 0.8242     | 0.0881     | 0.2708       | 0.5950       | (saved)     | 1.3618   | 0.866  
53     | 6.7946     | 0.9220     | 4.9641     | 0.8197     | 0.0888     | 0.2342       | 0.5567       | (saved)     | 1.3417   | 0.791  
54     | 6.5291     | 0.8995     | 4.7325     | 0.8120     | 0.0851     | 0.2275       | 0.4929       | (saved)     | 1.3450   | 0.720  
55     | 6.2708     | 0.8503     | 4.5673     | 0.7719     | 0.0814     | 0.2276       | 0.5042       |             | 1.3635   | 0.732  
56     | 5.9855     | 0.8208     | 4.3524     | 0.7341     | 0.0782     | 0.2400       | 0.4452       | (saved)     | 1.4224   | 0.685  
57     | 6.2733     | 0.7915     | 4.6744     | 0.7333     | 0.0742     | 0.2463       | 0.4480       |             | 1.3900   | 0.694  
58     | 6.3019     | 0.7727     | 4.7135     | 0.7378     | 0.0778     | 0.2285       | 0.4234       | (saved)     | 1.3410   | 0.652  
59     | 6.2462     | 0.8252     | 4.6292     | 0.7173     | 0.0744     | 0.2219       | 0.4222       | (saved)     | 1.3490   | 0.644  
60     | 6.6090     | 0.8477     | 4.9738     | 0.7175     | 0.0700     | 0.2142       | 0.4673       |             | 1.3211   | 0.681  
61     | 6.7817     | 0.9082     | 5.0570     | 0.7319     | 0.0846     | 0.2455       | 0.4651       |             | 1.3549   | 0.711  
62     | 6.6199     | 0.8676     | 4.9629     | 0.7063     | 0.0831     | 0.1910       | 0.4383       | (saved)     | 1.3114   | 0.629  
63     | 6.3202     | 0.8311     | 4.7264     | 0.6865     | 0.0762     | 0.1881       | 0.4336       | (saved)     | 1.3092   | 0.622  
64     | 6.2231     | 0.8007     | 4.6770     | 0.6692     | 0.0761     | 0.2348       | 0.3756       | (saved)     | 1.3264   | 0.610  
65     | 6.3665     | 0.8055     | 4.7916     | 0.6895     | 0.0799     | 0.1884       | 0.3739       | (saved)     | 1.3186   | 0.562  
66     | 6.1987     | 0.7930     | 4.6700     | 0.6634     | 0.0723     | 0.1725       | 0.4173       |             | 1.3355   | 0.590  
67     | 6.3354     | 0.7831     | 4.8089     | 0.6688     | 0.0747     | 0.2033       | 0.4149       |             | 1.3234   | 0.618  
68     | 6.3817     | 0.8611     | 4.7859     | 0.6612     | 0.0735     | 0.2076       | 0.3248       | (saved)     | 1.3411   | 0.532  
69     | 6.1408     | 0.8251     | 4.6220     | 0.6223     | 0.0713     | 0.1740       | 0.3685       |             | 1.3510   | 0.543  
70     | 6.1171     | 0.8039     | 4.6222     | 0.6177     | 0.0733     | 0.2038       | 0.3424       |             | 1.3502   | 0.546  
71     | 6.3710     | 0.8064     | 4.8429     | 0.6512     | 0.0705     | 0.1848       | 0.3596       |             | 1.3305   | 0.544  
72     | 6.3420     | 0.7912     | 4.8360     | 0.6417     | 0.0731     | 0.1617       | 0.3497       | (saved)     | 1.3425   | 0.511  
73     | 6.4413     | 0.8123     | 4.9100     | 0.6419     | 0.0771     | 0.1839       | 0.4506       |             | 1.3490   | 0.635  
74     | 6.3124     | 0.8409     | 4.7589     | 0.6430     | 0.0697     | 0.2334       | 0.3592       |             | 1.3529   | 0.593  
75     | 6.0190     | 0.7888     | 4.5492     | 0.6156     | 0.0654     | 0.1759       | 0.3201       | (saved)     | 1.3777   | 0.496  
76     | 5.9684     | 0.7937     | 4.5239     | 0.5842     | 0.0666     | 0.2246       | 0.4043       |             | 1.3739   | 0.629  
77     | 6.2669     | 0.8253     | 4.7779     | 0.5930     | 0.0707     | 0.2276       | 0.3551       |             | 1.4290   | 0.583  
78     | 6.3743     | 0.8467     | 4.8539     | 0.6016     | 0.0721     | 0.2020       | 0.3377       |             | 1.4518   | 0.540  
79     | 5.8755     | 0.7658     | 4.4610     | 0.5808     | 0.0679     | 0.1755       | 0.3617       |             | 1.3442   | 0.537  
80     | 5.9688     | 0.7715     | 4.5470     | 0.5838     | 0.0665     | 0.2071       | 0.3548       |             | 1.2433   | 0.562  
81     | 6.1086     | 0.7780     | 4.6610     | 0.6041     | 0.0655     | 0.1780       | 0.3792       |             | 1.2926   | 0.557  
82     | 5.9631     | 0.7661     | 4.5473     | 0.5856     | 0.0641     | 0.1712       | 0.3326       |             | 1.2799   | 0.504  
83     | 5.8467     | 0.7759     | 4.4246     | 0.5824     | 0.0638     | 0.1672       | 0.3496       |             | 1.2284   | 0.517  
84     | 5.7107     | 0.7389     | 4.3326     | 0.5738     | 0.0654     | 0.1629       | 0.3119       | (saved)     | 1.3218   | 0.475  
85     | 5.7151     | 0.7396     | 4.3509     | 0.5570     | 0.0675     | 0.1574       | 0.3132       | (saved)     | 1.4156   | 0.471  
86     | 5.8738     | 0.7632     | 4.4780     | 0.5652     | 0.0675     | 0.2029       | 0.3052       |             | 1.2859   | 0.508  
87     | 5.9320     | 0.7582     | 4.5583     | 0.5504     | 0.0650     | 0.1681       | 0.3501       |             | 1.2524   | 0.518  
88     | 5.9398     | 0.7275     | 4.5766     | 0.5711     | 0.0646     | 0.2102       | 0.3629       |             | 1.2788   | 0.573  
89     | 5.7258     | 0.7261     | 4.3734     | 0.5639     | 0.0624     | 0.1642       | 0.3431       |             | 1.2878   | 0.507  
