Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.3358    | 3.6207     | 5.5488     | 3.7062     | 0.4600     | 3.0687       | 3.7508       |             | 2.3245   | 6.819  
2      | 12.1104    | 2.9731     | 5.3959     | 3.4894     | 0.2519     | 2.5957       | 3.3109       |             | 1.9877   | 5.907  
3      | 10.9827    | 2.7147     | 5.2724     | 2.8267     | 0.1690     | 2.3533       | 2.5812       |             | 1.5933   | 4.934  
4      | 9.9430     | 2.5207     | 5.1160     | 2.1591     | 0.1472     | 2.0658       | 1.9337       |             | 1.7236   | 4.000  
5      | 9.0911     | 2.2933     | 4.9079     | 1.7618     | 0.1281     | 1.6873       | 1.6792       |             | 1.8185   | 3.367  
6      | 8.2460     | 2.1109     | 4.6214     | 1.4060     | 0.1077     | 1.4894       | 1.2097       |             | 1.7592   | 2.699  
7      | 7.4834     | 1.8910     | 4.3323     | 1.1567     | 0.1034     | 1.3600       | 0.8670       |             | 1.7553   | 2.227  
8      | 6.8496     | 1.7515     | 4.0191     | 0.9825     | 0.0965     | 1.2281       | 0.7584       |             | 1.7601   | 1.987  
9      | 6.2087     | 1.5916     | 3.6761     | 0.8472     | 0.0939     | 1.1024       | 0.7017       |             | 1.6628   | 1.804  
10     | 5.5239     | 1.4267     | 3.2474     | 0.7587     | 0.0911     | 0.7743       | 0.7705       |             | 1.6293   | 1.545  
11     | 5.1468     | 1.3586     | 2.9937     | 0.7021     | 0.0925     | 0.7606       | 0.7117       |             | 1.6498   | 1.472  
12     | 4.6052     | 1.2406     | 2.6288     | 0.6458     | 0.0900     | 0.6731       | 0.5990       |             | 1.6667   | 1.272  
13     | 4.3196     | 1.2015     | 2.4566     | 0.5762     | 0.0854     | 0.9957       | 0.3642       |             | 1.6513   | 1.360  
14     | 4.0383     | 1.1241     | 2.2597     | 0.5655     | 0.0890     | 0.5770       | 0.5002       |             | 1.6222   | 1.077  
15     | 3.6475     | 1.0060     | 2.0483     | 0.5145     | 0.0787     | 0.4503       | 0.4905       |             | 1.6078   | 0.941  
16     | 3.4116     | 0.9885     | 1.8590     | 0.4805     | 0.0837     | 0.5879       | 0.3986       |             | 1.6145   | 0.986  
17     | 3.3424     | 0.9632     | 1.8165     | 0.4818     | 0.0810     | 0.3571       | 0.5307       |             | 1.5666   | 0.888  
18     | 3.3216     | 0.9413     | 1.8114     | 0.4853     | 0.0836     | 0.5706       | 0.3696       |             | 1.6044   | 0.940  
19     | 3.0577     | 0.8865     | 1.6498     | 0.4410     | 0.0805     | 0.5571       | 0.3859       |             | 1.6366   | 0.943  
20     | 3.0772     | 0.8813     | 1.6781     | 0.4331     | 0.0846     | 0.5272       | 0.3394       |             | 1.5952   | 0.867  
21     | 3.0765     | 0.8368     | 1.7130     | 0.4417     | 0.0850     | 0.4331       | 0.3630       |             | 1.5860   | 0.796  
22     | 2.9177     | 0.8140     | 1.6030     | 0.4191     | 0.0815     | 0.3685       | 0.3431       |             | 1.5736   | 0.712  
23     | 2.8683     | 0.7921     | 1.5756     | 0.4185     | 0.0821     | 0.2424       | 0.4061       |             | 1.5168   | 0.648  
24     | 2.7351     | 0.7727     | 1.4686     | 0.4085     | 0.0853     | 0.4354       | 0.2858       |             | 1.6247   | 0.721  
25     | 2.6084     | 0.7482     | 1.3983     | 0.3859     | 0.0760     | 0.2424       | 0.4012       |             | 1.5336   | 0.644  
26     | 2.6686     | 0.7435     | 1.4462     | 0.3961     | 0.0828     | 0.4352       | 0.2338       |             | 1.6542   | 0.669  
27     | 2.5770     | 0.7232     | 1.3919     | 0.3836     | 0.0783     | 0.2249       | 0.3492       |             | 1.6039   | 0.574  
28     | 2.4796     | 0.7096     | 1.3142     | 0.3775     | 0.0783     | 0.3214       | 0.2340       |             | 1.6421   | 0.555  
29     | 2.5502     | 0.7030     | 1.3760     | 0.3884     | 0.0828     | 0.2069       | 0.3577       |             | 1.5889   | 0.565  
30     | 2.5215     | 0.6420     | 1.4067     | 0.3893     | 0.0836     | 0.2893       | 0.2953       |             | 1.5518   | 0.585  
31     | 2.6629     | 0.6940     | 1.5059     | 0.3800     | 0.0831     | 0.2760       | 0.3105       |             | 1.5673   | 0.587  
32     | 2.6482     | 0.7050     | 1.4716     | 0.3906     | 0.0810     | 0.1956       | 0.3168       |             | 1.5061   | 0.512  
33     | 2.6792     | 0.6555     | 1.5216     | 0.4205     | 0.0817     | 0.1643       | 0.3688       |             | 1.5628   | 0.533  
34     | 2.9919     | 0.6696     | 1.7995     | 0.4405     | 0.0823     | 0.2188       | 0.4335       |             | 1.4810   | 0.652  
35     | 3.5191     | 0.7044     | 2.2604     | 0.4669     | 0.0874     | 0.2742       | 0.3300       |             | 1.4906   | 0.604  
36     | 3.9501     | 0.7391     | 2.5873     | 0.5309     | 0.0928     | 0.1754       | 0.3897       |             | 1.5048   | 0.565  
37     | 4.0487     | 0.7635     | 2.6473     | 0.5429     | 0.0950     | 0.2439       | 0.4023       |             | 1.5179   | 0.646  
38     | 4.9950     | 0.7727     | 3.5087     | 0.6100     | 0.1035     | 0.2752       | 0.3566       |             | 1.3878   | 0.632  
39     | 5.4257     | 0.8074     | 3.8323     | 0.6708     | 0.1153     | 0.1712       | 0.4503       |             | 1.3027   | 0.622  
40     | 4.5587     | 0.7494     | 3.1095     | 0.5903     | 0.1095     | 0.1736       | 0.3607       |             | 1.3650   | 0.534  
41     | 4.3769     | 0.6742     | 3.0305     | 0.5662     | 0.1060     | 0.1595       | 0.4108       |             | 1.3204   | 0.570  
42     | 4.7159     | 0.7375     | 3.2943     | 0.5810     | 0.1032     | 0.2041       | 0.3845       |             | 1.3567   | 0.589  
43     | 4.7464     | 0.7225     | 3.3383     | 0.5890     | 0.0966     | 0.1109       | 0.3816       |             | 1.3568   | 0.492  
44     | 4.2950     | 0.6418     | 3.0000     | 0.5537     | 0.0995     | 0.1282       | 0.3306       |             | 1.3297   | 0.459  
45     | 4.1971     | 0.6498     | 2.9053     | 0.5452     | 0.0968     | 0.1364       | 0.2969       |             | 1.2845   | 0.433  
46     | 3.9592     | 0.6230     | 2.7217     | 0.5216     | 0.0929     | 0.1158       | 0.3292       |             | 1.2402   | 0.445  
47     | 4.1075     | 0.6505     | 2.8274     | 0.5393     | 0.0903     | 0.0976       | 0.3108       |             | 1.3196   | 0.408  
48     | 4.7656     | 0.6945     | 3.3955     | 0.5780     | 0.0977     | 0.1211       | 0.3387       |             | 1.2255   | 0.460  
49     | 4.4578     | 0.6480     | 3.1340     | 0.5748     | 0.1010     | 0.1176       | 0.3512       |             | 1.2861   | 0.469  
50     | 4.3519     | 0.6798     | 3.0256     | 0.5467     | 0.0998     | 0.1144       | 0.3466       |             | 1.2752   | 0.461  
51     | 4.4159     | 0.5947     | 3.1491     | 0.5765     | 0.0955     | 0.1913       | 0.2836       | (saved)     | 1.2004   | 0.475  
52     | 4.3916     | 0.5878     | 3.1490     | 0.5566     | 0.0982     | 0.1485       | 0.3277       |             | 1.1376   | 0.476  
53     | 4.7361     | 0.6169     | 3.4514     | 0.5728     | 0.0950     | 0.1180       | 0.3267       | (saved)     | 1.2074   | 0.445  
54     | 5.1232     | 0.6306     | 3.7978     | 0.5988     | 0.0960     | 0.1361       | 0.3683       |             | 1.2621   | 0.504  
55     | 5.4799     | 0.7082     | 4.0636     | 0.6067     | 0.1014     | 0.1390       | 0.4340       |             | 1.2778   | 0.573  
