Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.3460    | 3.6809     | 5.5377     | 3.6993     | 0.4281     | 3.1128       | 3.7157       |             | 2.2101   | 6.828  
2      | 12.0716    | 3.0209     | 5.4101     | 3.4178     | 0.2227     | 2.6134       | 3.1148       |             | 2.1327   | 5.728  
3      | 10.9431    | 2.8306     | 5.3114     | 2.6237     | 0.1774     | 2.4116       | 2.3013       |             | 2.4531   | 4.713  
4      | 9.9539     | 2.7590     | 5.1939     | 1.8451     | 0.1558     | 2.3266       | 1.5619       |             | 2.5080   | 3.888  
5      | 9.1064     | 2.5762     | 5.0108     | 1.3926     | 0.1268     | 2.0588       | 1.2793       |             | 2.3979   | 3.338  
6      | 8.3351     | 2.3045     | 4.7620     | 1.1327     | 0.1359     | 1.7878       | 0.9958       |             | 2.3692   | 2.784  
7      | 7.5213     | 2.0825     | 4.4013     | 0.9182     | 0.1192     | 1.6208       | 0.8758       |             | 2.3676   | 2.497  
8      | 6.8036     | 1.8721     | 4.0282     | 0.7902     | 0.1131     | 1.5570       | 0.7447       |             | 2.3830   | 2.302  
9      | 6.1786     | 1.7057     | 3.6392     | 0.7170     | 0.1166     | 1.3543       | 0.7220       |             | 2.3117   | 2.076  
10     | 5.4800     | 1.5615     | 3.1779     | 0.6264     | 0.1143     | 1.5798       | 0.5777       |             | 2.3847   | 2.158  
11     | 5.0576     | 1.4688     | 2.8823     | 0.5982     | 0.1084     | 1.3808       | 0.5486       |             | 2.3942   | 1.929  
12     | 4.6672     | 1.3886     | 2.6352     | 0.5401     | 0.1034     | 1.1394       | 0.5388       |             | 2.2754   | 1.678  
13     | 4.1536     | 1.3091     | 2.2654     | 0.4800     | 0.0991     | 1.1482       | 0.4163       |             | 2.4178   | 1.564  
14     | 3.9825     | 1.2456     | 2.1514     | 0.4905     | 0.0950     | 1.1230       | 0.6512       |             | 2.3212   | 1.774  
15     | 3.5732     | 1.1752     | 1.8703     | 0.4298     | 0.0979     | 0.7227       | 0.6363       |             | 2.3518   | 1.359  
16     | 3.3407     | 1.1313     | 1.7168     | 0.4029     | 0.0898     | 0.8653       | 0.5668       |             | 2.2704   | 1.432  
17     | 3.2596     | 1.1166     | 1.6267     | 0.4271     | 0.0892     | 0.9290       | 0.4402       |             | 2.2980   | 1.369  
18     | 2.9021     | 1.0214     | 1.4226     | 0.3736     | 0.0844     | 1.0588       | 0.3505       |             | 2.2978   | 1.409  
19     | 2.6801     | 0.9486     | 1.2914     | 0.3635     | 0.0766     | 0.8199       | 0.3695       |             | 2.3190   | 1.189  
20     | 2.7538     | 0.9778     | 1.3467     | 0.3479     | 0.0815     | 0.8535       | 0.3246       |             | 2.3292   | 1.178  
21     | 2.7643     | 0.9807     | 1.3748     | 0.3275     | 0.0813     | 0.9053       | 0.3548       |             | 2.3238   | 1.260  
22     | 2.6873     | 0.9430     | 1.3174     | 0.3435     | 0.0834     | 0.6212       | 0.4572       |             | 2.2867   | 1.078  
23     | 2.5680     | 0.9357     | 1.2380     | 0.3201     | 0.0742     | 0.6776       | 0.3339       |             | 2.2529   | 1.011  
24     | 2.4788     | 0.9016     | 1.1884     | 0.3135     | 0.0753     | 1.0351       | 0.3294       |             | 2.1920   | 1.364  
25     | 2.4786     | 0.8786     | 1.2206     | 0.3043     | 0.0750     | 0.6367       | 0.3740       |             | 2.2979   | 1.011  
26     | 2.4955     | 0.8774     | 1.2288     | 0.3151     | 0.0741     | 0.6286       | 0.4348       |             | 2.3315   | 1.063  
27     | 2.2433     | 0.8150     | 1.0655     | 0.2933     | 0.0695     | 0.7947       | 0.2563       |             | 2.3083   | 1.051  
28     | 2.1899     | 0.8067     | 1.0271     | 0.2868     | 0.0692     | 0.6786       | 0.2865       |             | 2.3034   | 0.965  
29     | 2.3580     | 0.8523     | 1.1288     | 0.3037     | 0.0731     | 0.4336       | 0.5241       |             | 2.0961   | 0.958  
30     | 2.4362     | 0.8541     | 1.1887     | 0.3209     | 0.0724     | 0.5288       | 0.3491       |             | 2.3126   | 0.878  
31     | 2.3788     | 0.8353     | 1.1496     | 0.3223     | 0.0716     | 0.3692       | 0.4833       |             | 2.2013   | 0.852  
32     | 2.2890     | 0.7354     | 1.1805     | 0.3077     | 0.0653     | 0.7581       | 0.3249       |             | 2.2444   | 1.083  
