Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.3392    | 3.6191     | 5.5362     | 3.7044     | 0.4795     | 3.0653       | 3.7537       |             | 1.9594   | 6.819  
2      | 12.0898    | 2.9054     | 5.4003     | 3.5238     | 0.2602     | 2.4114       | 3.4408       |             | 1.6219   | 5.852  
3      | 11.0174    | 2.5095     | 5.2895     | 3.0260     | 0.1924     | 2.0423       | 2.7236       |             | 1.5083   | 4.766  
4      | 9.9949     | 2.3194     | 5.1394     | 2.3830     | 0.1531     | 1.7659       | 2.1191       |             | 1.5064   | 3.885  
5      | 9.0911     | 2.1047     | 4.9401     | 1.9174     | 0.1289     | 1.4801       | 1.6112       |             | 1.4780   | 3.091  
6      | 8.4160     | 1.9332     | 4.7137     | 1.6463     | 0.1228     | 1.2696       | 1.3393       |             | 1.4922   | 2.609  
7      | 7.6642     | 1.7283     | 4.4237     | 1.4000     | 0.1122     | 1.0406       | 1.0378       |             | 1.4107   | 2.078  
8      | 7.0104     | 1.5498     | 4.1608     | 1.1910     | 0.1088     | 0.9271       | 0.9110       |             | 1.4271   | 1.838  
9      | 6.4184     | 1.4153     | 3.8382     | 1.0632     | 0.1017     | 0.7238       | 0.8707       |             | 1.3664   | 1.594  
10     | 5.9837     | 1.3220     | 3.5855     | 0.9774     | 0.0988     | 0.6091       | 0.6883       |             | 1.3513   | 1.297  
11     | 5.4944     | 1.1954     | 3.3338     | 0.8736     | 0.0917     | 0.5606       | 0.6677       |             | 1.3216   | 1.228  
12     | 5.0966     | 1.1224     | 3.0729     | 0.8119     | 0.0894     | 0.5798       | 0.5675       |             | 1.3001   | 1.147  
13     | 4.7950     | 1.0709     | 2.8786     | 0.7506     | 0.0949     | 0.4335       | 0.5471       |             | 1.3049   | 0.981  
14     | 4.3730     | 0.9832     | 2.6048     | 0.6978     | 0.0872     | 0.4275       | 0.4893       |             | 1.3036   | 0.917  
15     | 4.1516     | 0.9482     | 2.4860     | 0.6355     | 0.0819     | 0.3372       | 0.5981       |             | 1.2766   | 0.935  
16     | 3.9131     | 0.9140     | 2.3106     | 0.6086     | 0.0798     | 0.4506       | 0.3747       |             | 1.3675   | 0.825  
17     | 3.7676     | 0.8903     | 2.1914     | 0.6038     | 0.0821     | 0.3207       | 0.3648       |             | 1.3597   | 0.686  
18     | 3.5275     | 0.8471     | 2.0369     | 0.5629     | 0.0807     | 0.3484       | 0.2816       |             | 1.3620   | 0.630  
19     | 3.4326     | 0.7890     | 2.0082     | 0.5542     | 0.0813     | 0.3133       | 0.3958       |             | 1.3295   | 0.709  
20     | 3.3573     | 0.8039     | 1.9358     | 0.5399     | 0.0777     | 0.2729       | 0.3890       |             | 1.3301   | 0.662  
21     | 3.2022     | 0.7590     | 1.8339     | 0.5295     | 0.0798     | 0.2365       | 0.4139       |             | 1.3254   | 0.650  
22     | 3.2789     | 0.8028     | 1.8904     | 0.5078     | 0.0779     | 0.1988       | 0.4652       |             | 1.2737   | 0.664  
23     | 3.1699     | 0.7430     | 1.8403     | 0.5094     | 0.0772     | 0.1952       | 0.4201       |             | 1.2578   | 0.615  
24     | 3.1717     | 0.7340     | 1.8414     | 0.5167     | 0.0796     | 0.1947       | 0.4095       |             | 1.2728   | 0.604  
25     | 3.1793     | 0.7355     | 1.8947     | 0.4736     | 0.0755     | 0.1645       | 0.4086       |             | 1.2664   | 0.573  
26     | 3.0084     | 0.6554     | 1.7750     | 0.5000     | 0.0780     | 0.2720       | 0.2832       |             | 1.2693   | 0.555  
27     | 3.0337     | 0.6623     | 1.8231     | 0.4684     | 0.0800     | 0.2785       | 0.3011       |             | 1.2867   | 0.580  
28     | 3.2726     | 0.7138     | 1.9879     | 0.4876     | 0.0834     | 0.1704       | 0.3541       |             | 1.2412   | 0.525  
29     | 3.2969     | 0.6684     | 2.0124     | 0.5308     | 0.0853     | 0.1992       | 0.2751       |             | 1.3378   | 0.474  
30     | 3.2508     | 0.6456     | 2.0308     | 0.4924     | 0.0820     | 0.1985       | 0.3002       |             | 1.1966   | 0.499  
31     | 3.2241     | 0.6611     | 2.0263     | 0.4581     | 0.0788     | 0.2937       | 0.3061       |             | 1.2013   | 0.600  
32     | 3.2312     | 0.5988     | 2.0664     | 0.4850     | 0.0811     | 0.1336       | 0.3170       |             | 1.2072   | 0.451  
33     | 3.5999     | 0.6204     | 2.3715     | 0.5200     | 0.0881     | 0.1649       | 0.3751       |             | 1.2432   | 0.540  
34     | 4.2290     | 0.6796     | 2.8855     | 0.5708     | 0.0930     | 0.1972       | 0.3392       |             | 1.2046   | 0.536  
35     | 4.3747     | 0.6675     | 3.0283     | 0.5862     | 0.0927     | 0.1437       | 0.3563       |             | 1.1591   | 0.500  
36     | 4.6169     | 0.6704     | 3.2431     | 0.6058     | 0.0976     | 0.1069       | 0.4157       |             | 1.1000   | 0.523  
37     | 4.7560     | 0.6135     | 3.4295     | 0.6199     | 0.0930     | 0.1352       | 0.4559       |             | 0.9489   | 0.591  
38     | 5.2701     | 0.6766     | 3.8300     | 0.6601     | 0.1034     | 0.1203       | 0.4558       |             | 1.0723   | 0.576  
39     | 5.1911     | 0.6549     | 3.8132     | 0.6222     | 0.1008     | 0.1556       | 0.4179       |             | 1.0064   | 0.574  
40     | 5.5982     | 0.6884     | 4.1423     | 0.6633     | 0.1042     | 0.1480       | 0.3466       |             | 1.0775   | 0.495  
41     | 5.5983     | 0.7043     | 4.1278     | 0.6616     | 0.1045     | 0.1020       | 0.3796       |             | 1.0064   | 0.482  
42     | 5.8378     | 0.6349     | 4.4404     | 0.6612     | 0.1013     | 0.1273       | 0.3106       |             | 1.0354   | 0.438  
43     | 5.4749     | 0.5907     | 4.1486     | 0.6358     | 0.0998     | 0.1047       | 0.3179       |             | 0.9489   | 0.423  
44     | 5.2229     | 0.5837     | 3.9527     | 0.5897     | 0.0969     | 0.1511       | 0.2613       |             | 0.9368   | 0.412  
45     | 5.6675     | 0.6392     | 4.2925     | 0.6324     | 0.1032     | 0.0912       | 0.2656       |             | 0.9642   | 0.357  
46     | 5.3398     | 0.6500     | 3.9974     | 0.5928     | 0.0996     | 0.1031       | 0.2545       |             | 0.9372   | 0.358  
47     | 5.2856     | 0.5787     | 4.0339     | 0.5800     | 0.0930     | 0.1218       | 0.2679       |             | 0.9530   | 0.390  
48     | 5.2923     | 0.5900     | 4.0373     | 0.5717     | 0.0933     | 0.0986       | 0.3340       |             | 0.9446   | 0.433  
49     | 5.8498     | 0.5995     | 4.5341     | 0.6164     | 0.0999     | 0.1421       | 0.4134       |             | 0.8929   | 0.556  
50     | 6.1243     | 0.6576     | 4.7206     | 0.6420     | 0.1040     | 0.1450       | 0.3215       |             | 0.9041   | 0.467  
51     | 6.6343     | 0.7146     | 5.1570     | 0.6586     | 0.1041     | 0.1498       | 0.3827       | (saved)     | 0.9037   | 0.532  
52     | 6.7626     | 0.7075     | 5.2734     | 0.6743     | 0.1073     | 0.1311       | 0.3800       | (saved)     | 0.9342   | 0.511  
53     | 6.2748     | 0.6145     | 4.9507     | 0.6164     | 0.0932     | 0.1481       | 0.3455       | (saved)     | 0.8905   | 0.494  
54     | 6.0729     | 0.6157     | 4.7858     | 0.5766     | 0.0949     | 0.1233       | 0.3008       | (saved)     | 0.8895   | 0.424  
55     | 5.7750     | 0.5950     | 4.5288     | 0.5615     | 0.0897     | 0.1148       | 0.2855       | (saved)     | 0.9050   | 0.400  
56     | 5.8899     | 0.5966     | 4.6410     | 0.5629     | 0.0894     | 0.1169       | 0.2581       | (saved)     | 0.9734   | 0.375  
57     | 5.9990     | 0.6192     | 4.7197     | 0.5694     | 0.0907     | 0.1160       | 0.2812       |             | 0.9304   | 0.397  
58     | 5.6921     | 0.5451     | 4.5094     | 0.5491     | 0.0885     | 0.1104       | 0.2437       | (saved)     | 0.9730   | 0.354  
59     | 5.5254     | 0.5201     | 4.3818     | 0.5379     | 0.0857     | 0.1227       | 0.2506       |             | 0.9249   | 0.373  
60     | 5.4990     | 0.5259     | 4.3677     | 0.5230     | 0.0824     | 0.1258       | 0.2632       |             | 0.9977   | 0.389  
61     | 5.7707     | 0.5629     | 4.5935     | 0.5299     | 0.0843     | 0.1309       | 0.3400       |             | 0.9735   | 0.471  
62     | 6.2055     | 0.6195     | 4.9242     | 0.5773     | 0.0845     | 0.1121       | 0.3314       |             | 0.9101   | 0.444  
63     | 5.8189     | 0.5649     | 4.6352     | 0.5363     | 0.0825     | 0.1290       | 0.3211       |             | 0.8775   | 0.450  
