Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
46     | 4.0614     | 0.6837     | 2.7555     | 0.5297     | 0.0926     | 0.1755       | 0.3354       |             | 1.7781   | 0.511  
47     | 3.9792     | 0.6692     | 2.6935     | 0.5208     | 0.0957     | 0.2069       | 0.4032       |             | 1.7630   | 0.610  
48     | 4.0792     | 0.6854     | 2.7533     | 0.5454     | 0.0951     | 0.2104       | 0.2993       |             | 1.8980   | 0.510  
49     | 4.2609     | 0.6432     | 2.9819     | 0.5404     | 0.0955     | 0.1698       | 0.3780       |             | 1.8040   | 0.548  
50     | 4.5515     | 0.7426     | 3.1474     | 0.5668     | 0.0946     | 0.1589       | 0.4633       |             | 1.6127   | 0.622  
51     | 4.4909     | 0.6820     | 3.1505     | 0.5606     | 0.0979     | 0.2521       | 0.3259       | (saved)     | 1.8117   | 0.578  
52     | 4.3012     | 0.6563     | 3.0114     | 0.5372     | 0.0963     | 0.2161       | 0.2852       | (saved)     | 1.8308   | 0.501  
53     | 4.8817     | 0.7053     | 3.5043     | 0.5769     | 0.0952     | 0.1732       | 0.4841       |             | 1.6014   | 0.657  
54     | 4.8294     | 0.7175     | 3.4161     | 0.5950     | 0.1008     | 0.1634       | 0.3610       |             | 1.7546   | 0.524  
55     | 5.0071     | 0.7424     | 3.5575     | 0.6049     | 0.1024     | 0.2335       | 0.3863       |             | 1.7728   | 0.620  
56     | 6.0196     | 0.7980     | 4.4393     | 0.6667     | 0.1155     | 0.2842       | 0.4604       |             | 1.7500   | 0.745  
57     | 6.0479     | 0.9176     | 4.3590     | 0.6529     | 0.1184     | 0.2676       | 0.4322       |             | 1.9999   | 0.700  
58     | 5.5989     | 0.8579     | 4.0111     | 0.6152     | 0.1147     | 0.2361       | 0.4172       |             | 1.6830   | 0.653  
59     | 5.2081     | 0.7313     | 3.7554     | 0.6082     | 0.1132     | 0.2500       | 0.4158       |             | 1.6464   | 0.666  
60     | 5.3551     | 0.7838     | 3.8334     | 0.6231     | 0.1147     | 0.1768       | 0.3950       |             | 1.5822   | 0.572  
61     | 4.8720     | 0.7161     | 3.4872     | 0.5586     | 0.1101     | 0.1988       | 0.3997       |             | 1.6426   | 0.599  
62     | 5.1179     | 0.7896     | 3.6543     | 0.5661     | 0.1080     | 0.2266       | 0.4186       |             | 1.4901   | 0.645  
63     | 5.1597     | 0.6957     | 3.7950     | 0.5634     | 0.1056     | 0.2273       | 0.4128       |             | 1.4570   | 0.640  
64     | 5.1894     | 0.7487     | 3.7716     | 0.5637     | 0.1053     | 0.2595       | 0.3621       |             | 1.5247   | 0.622  
65     | 5.2337     | 0.7412     | 3.8240     | 0.5585     | 0.1101     | 0.2106       | 0.3607       |             | 1.5233   | 0.571  
66     | 5.2279     | 0.7068     | 3.8448     | 0.5701     | 0.1062     | 0.2677       | 0.3649       |             | 1.5995   | 0.633  
67     | 5.1885     | 0.6618     | 3.8532     | 0.5627     | 0.1107     | 0.2183       | 0.4348       |             | 1.4986   | 0.653  
68     | 5.1914     | 0.6696     | 3.8489     | 0.5682     | 0.1047     | 0.1660       | 0.4123       |             | 1.5482   | 0.578  
69     | 5.2156     | 0.6711     | 3.8810     | 0.5589     | 0.1046     | 0.2165       | 0.3798       |             | 1.4100   | 0.596  
70     | 5.2898     | 0.6663     | 3.9613     | 0.5575     | 0.1047     | 0.2056       | 0.3331       |             | 1.4670   | 0.539  
71     | 5.4406     | 0.6789     | 4.1174     | 0.5457     | 0.0987     | 0.1731       | 0.3467       |             | 1.2596   | 0.520  
72     | 5.5660     | 0.7007     | 4.1915     | 0.5717     | 0.1021     | 0.1623       | 0.3538       |             | 1.2620   | 0.516  
73     | 5.8574     | 0.7207     | 4.4621     | 0.5785     | 0.0961     | 0.1658       | 0.3254       | (saved)     | 1.1782   | 0.491  
74     | 5.8400     | 0.6794     | 4.5058     | 0.5577     | 0.0970     | 0.1930       | 0.3304       |             | 1.1631   | 0.523  
75     | 5.6746     | 0.6516     | 4.3748     | 0.5524     | 0.0959     | 0.1928       | 0.3129       |             | 1.1832   | 0.506  
76     | 5.8452     | 0.6864     | 4.5052     | 0.5590     | 0.0946     | 0.1874       | 0.3358       |             | 1.1396   | 0.523  
77     | 5.8474     | 0.7052     | 4.5006     | 0.5502     | 0.0913     | 0.1716       | 0.3178       | (saved)     | 1.0921   | 0.489  
78     | 5.6874     | 0.6595     | 4.3926     | 0.5412     | 0.0941     | 0.1557       | 0.3217       | (saved)     | 1.1295   | 0.477  
79     | 5.7127     | 0.6863     | 4.3984     | 0.5354     | 0.0925     | 0.1607       | 0.2825       | (saved)     | 1.1176   | 0.443  
80     | 5.6969     | 0.6890     | 4.3964     | 0.5239     | 0.0876     | 0.1721       | 0.3235       |             | 1.0835   | 0.496  
81     | 5.5865     | 0.6494     | 4.3362     | 0.5144     | 0.0864     | 0.1508       | 0.3034       |             | 1.1851   | 0.454  
82     | 5.8906     | 0.6692     | 4.6005     | 0.5344     | 0.0864     | 0.1774       | 0.3590       |             | 1.1108   | 0.536  
83     | 5.9154     | 0.6430     | 4.6422     | 0.5440     | 0.0863     | 0.1778       | 0.3307       |             | 1.1232   | 0.508  
84     | 6.0977     | 0.7027     | 4.7718     | 0.5328     | 0.0904     | 0.1376       | 0.3207       |             | 1.1950   | 0.458  
85     | 5.9048     | 0.6701     | 4.6146     | 0.5323     | 0.0878     | 0.1506       | 0.3154       |             | 1.1195   | 0.466  
