Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
46     | 1.4118     | 0.4918     | 0.6710     | 0.2083     | 0.0407     | 0.1774       | 0.1457       |             | 2.2376   | 0.323  
47     | 1.4093     | 0.4926     | 0.6645     | 0.1942     | 0.0580     | 0.2948       | 0.1220       |             | 2.2715   | 0.417  
48     | 1.6515     | 0.5579     | 0.7893     | 0.2165     | 0.0878     | 0.3410       | 0.1012       |             | 2.2586   | 0.442  
49     | 1.4785     | 0.5171     | 0.6988     | 0.2193     | 0.0432     | 0.1776       | 0.1944       |             | 2.2747   | 0.372  
50     | 1.4212     | 0.4797     | 0.6816     | 0.2081     | 0.0519     | 0.2310       | 0.1137       |             | 2.2044   | 0.345  
51     | 1.4035     | 0.4739     | 0.6628     | 0.2132     | 0.0536     | 0.3145       | 0.0998       |             | 2.2386   | 0.414  
52     | 1.3917     | 0.4938     | 0.6450     | 0.2074     | 0.0454     | 0.1968       | 0.1714       |             | 2.1584   | 0.368  
53     | 1.2999     | 0.4370     | 0.6322     | 0.1998     | 0.0309     | 0.2072       | 0.1681       |             | 2.2174   | 0.375  
54     | 1.2736     | 0.4488     | 0.5909     | 0.1957     | 0.0381     | 0.2679       | 0.0870       |             | 2.2289   | 0.355  
55     | 1.2319     | 0.4650     | 0.5566     | 0.1777     | 0.0327     | 0.2257       | 0.1585       |             | 2.2662   | 0.384  
56     | 1.2304     | 0.4468     | 0.5487     | 0.1902     | 0.0447     | 0.2776       | 0.0862       |             | 2.2638   | 0.364  
57     | 1.2973     | 0.4846     | 0.5878     | 0.1807     | 0.0442     | 0.1575       | 0.2303       |             | 2.1673   | 0.388  
58     | 1.2340     | 0.4325     | 0.5801     | 0.1804     | 0.0410     | 0.1481       | 0.1850       |             | 2.2158   | 0.333  
59     | 1.3783     | 0.4725     | 0.6380     | 0.2117     | 0.0562     | 0.1892       | 0.1230       |             | 2.2425   | 0.312  
60     | 1.2447     | 0.4241     | 0.6047     | 0.1851     | 0.0308     | 0.1831       | 0.1203       |             | 2.2454   | 0.303  
61     | 1.3067     | 0.4221     | 0.6400     | 0.2014     | 0.0433     | 0.2537       | 0.0803       |             | 2.2581   | 0.334  
62     | 1.3130     | 0.4311     | 0.6327     | 0.2057     | 0.0435     | 0.1687       | 0.1410       |             | 2.1893   | 0.310  
63     | 1.3861     | 0.4567     | 0.6761     | 0.2053     | 0.0480     | 0.2714       | 0.1304       |             | 2.1945   | 0.402  
64     | 1.5652     | 0.5067     | 0.7774     | 0.2323     | 0.0487     | 0.2209       | 0.1435       |             | 2.1831   | 0.364  
65     | 1.6088     | 0.5077     | 0.8106     | 0.2373     | 0.0532     | 0.1555       | 0.2383       |             | 2.1907   | 0.394  
66     | 1.5870     | 0.4845     | 0.8194     | 0.2379     | 0.0451     | 0.2207       | 0.1438       |             | 2.1861   | 0.365  
67     | 1.6086     | 0.4862     | 0.8244     | 0.2318     | 0.0662     | 0.1720       | 0.1508       |             | 2.1996   | 0.323  
68     | 1.6458     | 0.4819     | 0.8711     | 0.2318     | 0.0610     | 0.4038       | 0.0961       |             | 2.2542   | 0.500  
69     | 1.6093     | 0.5068     | 0.8216     | 0.2340     | 0.0469     | 0.2063       | 0.1694       |             | 2.2320   | 0.376  
70     | 1.6209     | 0.4989     | 0.8225     | 0.2416     | 0.0579     | 0.1778       | 0.1854       |             | 2.2479   | 0.363  
71     | 1.6687     | 0.4740     | 0.8761     | 0.2579     | 0.0607     | 0.2671       | 0.1090       |             | 2.2424   | 0.376  
72     | 1.5927     | 0.4700     | 0.8334     | 0.2265     | 0.0627     | 0.1721       | 0.3254       |             | 2.0894   | 0.498  
73     | 1.5672     | 0.4602     | 0.7955     | 0.2464     | 0.0651     | 0.2715       | 0.1344       |             | 2.2413   | 0.406  
74     | 1.5407     | 0.4587     | 0.7880     | 0.2321     | 0.0619     | 0.2351       | 0.1144       |             | 2.1784   | 0.350  
75     | 1.5915     | 0.4792     | 0.8445     | 0.2248     | 0.0430     | 0.1962       | 0.1247       |             | 2.1806   | 0.321  
76     | 1.5561     | 0.4492     | 0.8213     | 0.2343     | 0.0514     | 0.2624       | 0.0907       |             | 2.2486   | 0.353  
77     | 1.6028     | 0.4677     | 0.8436     | 0.2288     | 0.0628     | 0.1525       | 0.2035       |             | 2.1336   | 0.356  
78     | 1.6482     | 0.5064     | 0.8380     | 0.2441     | 0.0596     | 0.1891       | 0.1352       |             | 2.2315   | 0.324  
79     | 1.6289     | 0.4529     | 0.8717     | 0.2520     | 0.0524     | 0.1713       | 0.1814       |             | 2.1493   | 0.353  
80     | 1.7115     | 0.4701     | 0.9150     | 0.2618     | 0.0646     | 0.1632       | 0.2008       |             | 2.0639   | 0.364  
81     | 1.6754     | 0.4726     | 0.8792     | 0.2621     | 0.0615     | 0.2544       | 0.1435       |             | 2.1432   | 0.398  
82     | 1.6295     | 0.4529     | 0.8717     | 0.2488     | 0.0562     | 0.2329       | 0.1420       |             | 2.1576   | 0.375  
83     | 1.6668     | 0.4401     | 0.9154     | 0.2583     | 0.0531     | 0.2842       | 0.1133       |             | 2.1590   | 0.398  
84     | 1.6160     | 0.4795     | 0.8417     | 0.2442     | 0.0506     | 0.2063       | 0.1789       |             | 2.0848   | 0.385  
85     | 1.6780     | 0.4607     | 0.8908     | 0.2534     | 0.0731     | 0.1789       | 0.2244       |             | 2.0905   | 0.403  
86     | 1.7820     | 0.4866     | 0.9426     | 0.2788     | 0.0741     | 0.1997       | 0.1985       |             | 2.1689   | 0.398  
87     | 1.6845     | 0.4585     | 0.8921     | 0.2597     | 0.0742     | 0.1805       | 0.1659       |             | 2.1131   | 0.346  
88     | 1.7524     | 0.4996     | 0.9312     | 0.2687     | 0.0530     | 0.2442       | 0.2049       |             | 2.1247   | 0.449  
89     | 1.7693     | 0.4981     | 0.9326     | 0.2701     | 0.0685     | 0.3090       | 0.1574       |             | 2.2134   | 0.466  
90     | 1.7645     | 0.4953     | 0.9265     | 0.2746     | 0.0681     | 0.2746       | 0.1711       |             | 2.0921   | 0.446  
91     | 1.6372     | 0.4684     | 0.8558     | 0.2612     | 0.0518     | 0.1559       | 0.2036       |             | 1.9907   | 0.360  
92     | 1.6729     | 0.4608     | 0.8963     | 0.2594     | 0.0563     | 0.2334       | 0.1425       |             | 2.0862   | 0.376  
93     | 1.8251     | 0.4960     | 0.9661     | 0.2850     | 0.0781     | 0.2716       | 0.2066       |             | 2.0562   | 0.478  
94     | 1.8281     | 0.4426     | 1.0096     | 0.3065     | 0.0694     | 0.2114       | 0.1903       |             | 2.0857   | 0.402  
95     | 1.8422     | 0.4839     | 1.0077     | 0.2939     | 0.0567     | 0.1806       | 0.3008       |             | 1.9419   | 0.481  
96     | 1.8509     | 0.4544     | 1.0233     | 0.3108     | 0.0624     | 0.2103       | 0.1879       |             | 2.0067   | 0.398  
97     | 1.9287     | 0.5156     | 1.0526     | 0.2970     | 0.0635     | 0.2155       | 0.1860       |             | 1.9803   | 0.401  
98     | 1.9353     | 0.4861     | 1.0658     | 0.3172     | 0.0662     | 0.2139       | 0.1484       |             | 1.9330   | 0.362  
99     | 1.9135     | 0.4863     | 1.0573     | 0.3096     | 0.0604     | 0.1720       | 0.2210       |             | 1.9510   | 0.393  
100    | 1.9587     | 0.4515     | 1.0998     | 0.3395     | 0.0678     | 0.2528       | 0.1504       |             | 1.9626   | 0.403  
101    | 2.0637     | 0.5146     | 1.1369     | 0.3354     | 0.0768     | 0.1522       | 0.1875       | (saved)     | 1.8330   | 0.340  
102    | 2.0005     | 0.4917     | 1.1255     | 0.3225     | 0.0607     | 0.1678       | 0.2640       |             | 1.9566   | 0.432  
103    | 2.2277     | 0.5358     | 1.2350     | 0.3717     | 0.0852     | 0.1785       | 0.2106       |             | 2.0171   | 0.389  
104    | 2.0443     | 0.4928     | 1.1303     | 0.3502     | 0.0709     | 0.1519       | 0.1954       |             | 1.9187   | 0.347  
105    | 2.0718     | 0.4665     | 1.1618     | 0.3655     | 0.0779     | 0.1679       | 0.2186       |             | 1.8835   | 0.386  
106    | 2.2303     | 0.5398     | 1.2566     | 0.3625     | 0.0714     | 0.1502       | 0.1990       |             | 1.9286   | 0.349  
107    | 2.1459     | 0.5172     | 1.1996     | 0.3663     | 0.0629     | 0.1289       | 0.2849       |             | 1.7498   | 0.414  
108    | 1.9647     | 0.4782     | 1.0850     | 0.3449     | 0.0566     | 0.1271       | 0.2514       |             | 1.8093   | 0.379  
109    | 1.9727     | 0.4513     | 1.1172     | 0.3369     | 0.0672     | 0.1889       | 0.1483       | (saved)     | 1.7680   | 0.337  
110    | 2.1060     | 0.5138     | 1.1800     | 0.3529     | 0.0593     | 0.1880       | 0.1486       | (saved)     | 1.7321   | 0.337  
111    | 2.1475     | 0.4953     | 1.2338     | 0.3570     | 0.0614     | 0.1549       | 0.2001       |             | 1.6606   | 0.355  
112    | 2.1315     | 0.4906     | 1.2230     | 0.3586     | 0.0593     | 0.1363       | 0.2151       |             | 1.5527   | 0.351  
113    | 2.1403     | 0.5060     | 1.2296     | 0.3609     | 0.0438     | 0.1421       | 0.2475       |             | 1.5502   | 0.390  
114    | 2.1609     | 0.4953     | 1.2402     | 0.3746     | 0.0507     | 0.1216       | 0.2935       |             | 1.5359   | 0.415  
115    | 2.1662     | 0.4859     | 1.2542     | 0.3778     | 0.0483     | 0.1293       | 0.2124       |             | 1.6016   | 0.342  
116    | 2.2293     | 0.4699     | 1.3375     | 0.3699     | 0.0520     | 0.1488       | 0.2114       |             | 1.6482   | 0.360  
117    | 2.2476     | 0.4966     | 1.3240     | 0.3728     | 0.0542     | 0.1173       | 0.2029       | (saved)     | 1.6052   | 0.320  
118    | 2.2594     | 0.4804     | 1.3341     | 0.3828     | 0.0622     | 0.1008       | 0.2494       |             | 1.5344   | 0.350  
119    | 2.3205     | 0.4221     | 1.4437     | 0.4026     | 0.0521     | 0.1561       | 0.1791       |             | 1.6612   | 0.335  
120    | 2.3594     | 0.4538     | 1.4321     | 0.4074     | 0.0661     | 0.1309       | 0.2259       |             | 1.5681   | 0.357  
121    | 2.3535     | 0.4735     | 1.4130     | 0.3987     | 0.0683     | 0.1350       | 0.2041       |             | 1.6973   | 0.339  
122    | 2.3754     | 0.4549     | 1.4671     | 0.3963     | 0.0571     | 0.1161       | 0.2327       |             | 1.4676   | 0.349  
123    | 2.3853     | 0.4597     | 1.4609     | 0.4041     | 0.0606     | 0.1186       | 0.2253       |             | 1.3726   | 0.344  
124    | 2.3001     | 0.4426     | 1.4234     | 0.3764     | 0.0577     | 0.1180       | 0.1566       | (saved)     | 1.4185   | 0.275  
125    | 2.3400     | 0.4180     | 1.4982     | 0.3720     | 0.0519     | 0.1213       | 0.1715       |             | 1.3758   | 0.293  
126    | 2.4338     | 0.4649     | 1.5030     | 0.4014     | 0.0646     | 0.1343       | 0.1828       |             | 1.4115   | 0.317  
127    | 2.3421     | 0.4630     | 1.4385     | 0.3924     | 0.0482     | 0.1316       | 0.1563       |             | 1.3994   | 0.288  
128    | 2.2872     | 0.4562     | 1.3976     | 0.3767     | 0.0567     | 0.1290       | 0.1796       |             | 1.4160   | 0.309  
129    | 2.1830     | 0.4226     | 1.3311     | 0.3781     | 0.0512     | 0.1343       | 0.1724       |             | 1.4386   | 0.307  
130    | 2.2426     | 0.4521     | 1.3717     | 0.3662     | 0.0525     | 0.1113       | 0.1879       |             | 1.3453   | 0.299  
131    | 2.1609     | 0.4260     | 1.3254     | 0.3484     | 0.0612     | 0.1230       | 0.1452       | (saved)     | 1.4403   | 0.268  
132    | 2.0899     | 0.4383     | 1.2743     | 0.3294     | 0.0478     | 0.1141       | 0.1434       | (saved)     | 1.3935   | 0.258  
133    | 2.1959     | 0.4570     | 1.3416     | 0.3474     | 0.0500     | 0.1220       | 0.1806       |             | 1.3938   | 0.303  
134    | 2.0802     | 0.3826     | 1.3299     | 0.3260     | 0.0418     | 0.1390       | 0.1498       |             | 1.3957   | 0.289  
135    | 2.1236     | 0.4218     | 1.3292     | 0.3259     | 0.0466     | 0.1046       | 0.1880       |             | 1.3558   | 0.293  
136    | 2.1043     | 0.4339     | 1.3064     | 0.3233     | 0.0407     | 0.1304       | 0.1721       |             | 1.3600   | 0.303  
137    | 2.0819     | 0.3729     | 1.3348     | 0.3389     | 0.0353     | 0.1059       | 0.1742       |             | 1.3416   | 0.280  
138    | 2.2548     | 0.4209     | 1.4335     | 0.3619     | 0.0385     | 0.0988       | 0.1718       |             | 1.3300   | 0.271  
139    | 2.1692     | 0.4072     | 1.3877     | 0.3371     | 0.0372     | 0.1016       | 0.1411       | (saved)     | 1.3287   | 0.243  
140    | 2.2935     | 0.4215     | 1.4677     | 0.3637     | 0.0405     | 0.0857       | 0.1756       |             | 1.3555   | 0.261  
141    | 2.2384     | 0.3649     | 1.4950     | 0.3463     | 0.0323     | 0.0979       | 0.1972       |             | 1.3619   | 0.295  
142    | 2.3609     | 0.3874     | 1.5558     | 0.3733     | 0.0444     | 0.0926       | 0.1783       |             | 1.2656   | 0.271  
143    | 2.5129     | 0.4219     | 1.6819     | 0.3684     | 0.0407     | 0.0939       | 0.1938       |             | 1.2641   | 0.288  
144    | 2.5007     | 0.3954     | 1.6815     | 0.3758     | 0.0480     | 0.1227       | 0.1617       |             | 1.3099   | 0.284  
145    | 2.6709     | 0.4376     | 1.8152     | 0.3805     | 0.0375     | 0.1223       | 0.2104       |             | 1.2576   | 0.333  
