Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.3057    | 3.6982     | 5.5353     | 3.6712     | 0.4009     | 3.1741       | 3.5691       |             | 2.4150   | 6.743  
2      | 12.0269    | 3.1645     | 5.4192     | 3.2331     | 0.2100     | 2.7699       | 2.9779       |             | 2.1762   | 5.748  
3      | 11.0843    | 2.8764     | 5.3262     | 2.7182     | 0.1635     | 2.4838       | 2.4476       |             | 2.1372   | 4.931  
4      | 10.2342    | 2.7398     | 5.2155     | 2.1314     | 0.1475     | 2.2783       | 1.8696       |             | 2.0485   | 4.148  
5      | 9.5070     | 2.5588     | 5.0636     | 1.7465     | 0.1382     | 2.0083       | 1.6174       |             | 1.9612   | 3.626  
6      | 8.8270     | 2.3302     | 4.8641     | 1.5112     | 0.1215     | 1.7961       | 1.4120       |             | 1.9993   | 3.208  
7      | 8.1786     | 2.1481     | 4.6393     | 1.2661     | 0.1251     | 1.5508       | 1.1400       |             | 2.0057   | 2.691  
8      | 7.5974     | 1.9764     | 4.3556     | 1.1434     | 0.1219     | 1.5151       | 0.9068       |             | 2.0291   | 2.422  
9      | 7.0071     | 1.7939     | 4.0969     | 0.9999     | 0.1164     | 1.2051       | 1.0683       |             | 1.9985   | 2.273  
10     | 6.3976     | 1.6167     | 3.7565     | 0.9046     | 0.1198     | 1.1517       | 0.8441       |             | 1.9907   | 1.996  
11     | 6.0171     | 1.5363     | 3.5246     | 0.8517     | 0.1046     | 1.3361       | 0.6283       |             | 2.0071   | 1.964  
12     | 5.5677     | 1.4500     | 3.2382     | 0.7814     | 0.0981     | 0.8619       | 0.8257       |             | 1.9891   | 1.688  
13     | 5.1028     | 1.3995     | 2.8972     | 0.7132     | 0.0930     | 0.9051       | 0.6588       |             | 1.9815   | 1.564  
14     | 4.8937     | 1.3536     | 2.7690     | 0.6778     | 0.0933     | 0.7626       | 0.6631       |             | 1.9454   | 1.426  
15     | 4.3747     | 1.2169     | 2.4490     | 0.6160     | 0.0929     | 1.0052       | 0.5112       |             | 1.9925   | 1.516  
16     | 4.2102     | 1.2055     | 2.3239     | 0.5945     | 0.0863     | 0.6817       | 0.6812       |             | 1.9702   | 1.363  
17     | 4.0659     | 1.1537     | 2.2148     | 0.6065     | 0.0910     | 0.5742       | 0.7432       |             | 1.9788   | 1.317  
18     | 3.7285     | 1.1130     | 1.9927     | 0.5353     | 0.0876     | 0.9563       | 0.3577       |             | 1.9210   | 1.314  
19     | 3.5001     | 1.0459     | 1.8455     | 0.5350     | 0.0737     | 0.5701       | 0.6026       |             | 1.9089   | 1.173  
20     | 3.4656     | 1.0448     | 1.8182     | 0.5177     | 0.0849     | 0.6615       | 0.5880       |             | 1.9455   | 1.249  
21     | 3.1866     | 1.0045     | 1.6169     | 0.4807     | 0.0844     | 0.4281       | 0.7928       |             | 1.9625   | 1.221  
22     | 3.5474     | 1.0585     | 1.9037     | 0.5007     | 0.0844     | 0.5068       | 0.6738       |             | 1.8857   | 1.181  
23     | 3.2960     | 1.0095     | 1.7274     | 0.4775     | 0.0816     | 0.8362       | 0.4142       |             | 1.8978   | 1.250  
