Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.2112    | 3.5699     | 5.5023     | 3.6991     | 0.4399     | 3.0173       | 3.7205       |             | 2.1388   | 6.738  
2      | 11.9839    | 2.9648     | 5.3393     | 3.4422     | 0.2377     | 2.5317       | 3.1923       |             | 1.8675   | 5.724  
3      | 10.9111    | 2.6412     | 5.1982     | 2.8912     | 0.1805     | 2.2183       | 2.6060       |             | 1.7873   | 4.824  
4      | 9.9627     | 2.4711     | 5.0431     | 2.3044     | 0.1442     | 2.0308       | 1.9113       |             | 1.9448   | 3.942  
5      | 9.0431     | 2.3430     | 4.8268     | 1.7496     | 0.1237     | 1.8208       | 1.4002       |             | 2.0223   | 3.221  
6      | 8.2409     | 2.1435     | 4.5108     | 1.4692     | 0.1174     | 1.5557       | 1.2056       |             | 2.0620   | 2.761  
7      | 7.4837     | 1.9190     | 4.1897     | 1.2676     | 0.1075     | 1.2458       | 1.1781       |             | 2.0223   | 2.424  
8      | 6.7448     | 1.7383     | 3.7777     | 1.1227     | 0.1061     | 1.0217       | 1.0836       |             | 2.0173   | 2.105  
9      | 6.1104     | 1.5850     | 3.4271     | 0.9943     | 0.1040     | 0.8947       | 0.9835       |             | 1.9539   | 1.878  
10     | 5.6722     | 1.4418     | 3.1853     | 0.9414     | 0.1038     | 0.8285       | 0.8311       |             | 1.9243   | 1.660  
11     | 5.2564     | 1.3534     | 2.9534     | 0.8481     | 0.1014     | 0.6395       | 1.0215       |             | 1.9121   | 1.661  
12     | 4.8674     | 1.2568     | 2.7024     | 0.8131     | 0.0952     | 0.6320       | 0.7111       |             | 1.9172   | 1.343  
13     | 4.5207     | 1.1838     | 2.5253     | 0.7197     | 0.0918     | 0.6543       | 0.6239       |             | 1.9004   | 1.278  
14     | 4.3318     | 1.1349     | 2.3971     | 0.7026     | 0.0971     | 0.5353       | 0.6077       |             | 1.9388   | 1.143  
15     | 4.0283     | 1.0236     | 2.2560     | 0.6593     | 0.0894     | 0.4304       | 0.7945       |             | 1.8799   | 1.225  
16     | 3.9447     | 1.0723     | 2.1565     | 0.6275     | 0.0884     | 0.4950       | 0.4918       |             | 1.9660   | 0.987  
17     | 3.7721     | 0.9859     | 2.1068     | 0.5948     | 0.0846     | 0.3903       | 0.7085       |             | 1.8336   | 1.099  
18     | 3.6984     | 0.9500     | 2.0727     | 0.5861     | 0.0896     | 0.5136       | 0.5218       |             | 1.8888   | 1.035  
19     | 3.5726     | 0.9207     | 2.0078     | 0.5585     | 0.0856     | 0.5122       | 0.4499       |             | 1.9452   | 0.962  
20     | 3.4371     | 0.8796     | 1.9275     | 0.5428     | 0.0873     | 0.3923       | 0.5048       |             | 1.8585   | 0.897  
21     | 3.3165     | 0.8377     | 1.8896     | 0.5074     | 0.0819     | 0.4057       | 0.5118       |             | 1.9080   | 0.917  
22     | 3.4155     | 0.8625     | 1.9474     | 0.5167     | 0.0888     | 0.8956       | 0.3513       |             | 1.9172   | 1.247  
23     | 3.2896     | 0.7990     | 1.8950     | 0.5115     | 0.0841     | 0.3988       | 0.4385       |             | 1.9057   | 0.837  
24     | 3.2062     | 0.8158     | 1.8157     | 0.4894     | 0.0853     | 0.4434       | 0.3954       |             | 1.8589   | 0.839  
25     | 3.0385     | 0.7901     | 1.6949     | 0.4716     | 0.0818     | 0.2398       | 0.6049       |             | 1.7812   | 0.845  
26     | 3.1950     | 0.8143     | 1.8168     | 0.4786     | 0.0853     | 0.3281       | 0.5188       |             | 1.8904   | 0.847  
27     | 3.5334     | 0.8128     | 2.1042     | 0.5265     | 0.0899     | 0.3888       | 0.3664       |             | 1.9133   | 0.755  
28     | 3.0351     | 0.7621     | 1.7310     | 0.4629     | 0.0791     | 0.2323       | 0.4819       |             | 1.7998   | 0.714  
29     | 2.9369     | 0.7485     | 1.6543     | 0.4523     | 0.0817     | 0.2863       | 0.4283       |             | 1.8557   | 0.715  
30     | 2.8545     | 0.7014     | 1.6346     | 0.4352     | 0.0834     | 0.2334       | 0.5863       |             | 1.8199   | 0.820  
31     | 3.1611     | 0.7755     | 1.8356     | 0.4680     | 0.0820     | 0.3632       | 0.4581       |             | 1.8422   | 0.821  
32     | 2.9513     | 0.7437     | 1.6938     | 0.4331     | 0.0807     | 0.2688       | 0.4054       |             | 1.8686   | 0.674  
33     | 2.9423     | 0.7160     | 1.7031     | 0.4394     | 0.0837     | 0.2228       | 0.5800       |             | 1.6809   | 0.803  
34     | 3.0285     | 0.6991     | 1.8045     | 0.4440     | 0.0809     | 0.2623       | 0.4381       |             | 1.8217   | 0.700  
35     | 3.2169     | 0.7127     | 1.9531     | 0.4622     | 0.0890     | 0.1717       | 0.5969       |             | 1.6459   | 0.769  
36     | 3.7205     | 0.7856     | 2.3307     | 0.5090     | 0.0952     | 0.1913       | 0.6363       |             | 1.5006   | 0.828  
37     | 4.2088     | 0.8161     | 2.7215     | 0.5687     | 0.1025     | 0.3172       | 0.4982       |             | 1.7505   | 0.815  
38     | 4.0699     | 0.7779     | 2.6264     | 0.5632     | 0.1024     | 0.1920       | 0.5535       |             | 1.6243   | 0.746  
39     | 3.9625     | 0.7539     | 2.5434     | 0.5673     | 0.0979     | 0.2171       | 0.5157       |             | 1.7316   | 0.733  
40     | 3.6782     | 0.7386     | 2.3171     | 0.5274     | 0.0951     | 0.2552       | 0.3804       |             | 1.7494   | 0.636  
41     | 3.5557     | 0.7056     | 2.2268     | 0.5319     | 0.0913     | 0.2042       | 0.4415       |             | 1.6784   | 0.646  
42     | 3.6224     | 0.7319     | 2.2767     | 0.5167     | 0.0971     | 0.2454       | 0.4066       |             | 1.6375   | 0.652  
43     | 3.6879     | 0.7264     | 2.3367     | 0.5271     | 0.0977     | 0.2216       | 0.3767       |             | 1.6592   | 0.598  
44     | 3.5474     | 0.6712     | 2.2577     | 0.5237     | 0.0948     | 0.2225       | 0.3772       |             | 1.6126   | 0.600  
45     | 3.8472     | 0.6762     | 2.5198     | 0.5563     | 0.0949     | 0.2230       | 0.3756       |             | 1.5516   | 0.599  
46     | 3.6772     | 0.6848     | 2.3822     | 0.5196     | 0.0906     | 0.1668       | 0.4073       |             | 1.5715   | 0.574  
47     | 3.8336     | 0.6797     | 2.5306     | 0.5363     | 0.0870     | 0.2168       | 0.4132       |             | 1.5941   | 0.630  
48     | 4.1257     | 0.7798     | 2.6845     | 0.5675     | 0.0938     | 0.1660       | 0.4354       |             | 1.5782   | 0.601  
49     | 4.2779     | 0.6944     | 2.8995     | 0.5883     | 0.0957     | 0.1679       | 0.4721       |             | 1.4706   | 0.640  
50     | 4.7570     | 0.7774     | 3.2536     | 0.6256     | 0.1004     | 0.1779       | 0.4751       |             | 1.3292   | 0.653  
51     | 4.9590     | 0.7666     | 3.4422     | 0.6490     | 0.1012     | 0.1680       | 0.4791       | (saved)     | 1.3364   | 0.647  
52     | 4.7604     | 0.6824     | 3.3369     | 0.6408     | 0.1003     | 0.2269       | 0.5177       |             | 1.4139   | 0.745  
53     | 5.0857     | 0.7416     | 3.6065     | 0.6457     | 0.0919     | 0.1866       | 0.5098       |             | 1.2902   | 0.696  
54     | 5.4113     | 0.7780     | 3.8511     | 0.6824     | 0.0999     | 0.2118       | 0.4678       |             | 1.1871   | 0.680  
55     | 5.4095     | 0.7173     | 3.9184     | 0.6768     | 0.0971     | 0.1390       | 0.5090       |             | 1.1326   | 0.648  
56     | 6.0030     | 0.7202     | 4.4800     | 0.7024     | 0.1004     | 0.1839       | 0.4748       |             | 1.1017   | 0.659  
57     | 6.2045     | 0.7804     | 4.6477     | 0.6770     | 0.0994     | 0.1639       | 0.4561       | (saved)     | 1.0946   | 0.620  
58     | 6.0914     | 0.7833     | 4.5380     | 0.6738     | 0.0963     | 0.1388       | 0.5542       |             | 1.0248   | 0.693  
59     | 6.1418     | 0.7336     | 4.6211     | 0.6917     | 0.0953     | 0.1440       | 0.4650       | (saved)     | 0.9876   | 0.609  
60     | 6.0596     | 0.7020     | 4.5923     | 0.6702     | 0.0951     | 0.1550       | 0.4559       |             | 0.9973   | 0.611  
61     | 6.1284     | 0.7356     | 4.6413     | 0.6585     | 0.0930     | 0.1906       | 0.4708       |             | 0.9316   | 0.661  
62     | 6.1734     | 0.7346     | 4.7204     | 0.6286     | 0.0898     | 0.1709       | 0.4241       | (saved)     | 0.9435   | 0.595  
63     | 5.9471     | 0.7085     | 4.5309     | 0.6231     | 0.0846     | 0.1514       | 0.4428       | (saved)     | 0.8916   | 0.594  
64     | 6.2027     | 0.7174     | 4.7760     | 0.6250     | 0.0843     | 0.1416       | 0.4036       | (saved)     | 0.9074   | 0.545  
65     | 5.9195     | 0.6985     | 4.5183     | 0.6177     | 0.0850     | 0.1356       | 0.4396       |             | 0.9088   | 0.575  
66     | 5.9347     | 0.6804     | 4.5480     | 0.6214     | 0.0849     | 0.1381       | 0.4245       |             | 0.8662   | 0.563  
67     | 5.9367     | 0.6230     | 4.6218     | 0.6095     | 0.0824     | 0.1606       | 0.4174       |             | 0.8653   | 0.578  
68     | 5.9618     | 0.6844     | 4.6147     | 0.5804     | 0.0824     | 0.1587       | 0.4189       |             | 0.9487   | 0.578  
69     | 6.0651     | 0.6835     | 4.6947     | 0.6020     | 0.0850     | 0.1594       | 0.4320       |             | 0.9703   | 0.591  
70     | 6.2162     | 0.7167     | 4.8155     | 0.5959     | 0.0882     | 0.1969       | 0.4203       |             | 0.9755   | 0.617  
71     | 6.2402     | 0.6749     | 4.8651     | 0.6109     | 0.0893     | 0.1671       | 0.4029       |             | 0.8911   | 0.570  
72     | 6.1398     | 0.7120     | 4.7351     | 0.6081     | 0.0846     | 0.1722       | 0.3842       |             | 0.9038   | 0.556  
73     | 5.8889     | 0.7063     | 4.5078     | 0.5923     | 0.0826     | 0.1726       | 0.3630       | (saved)     | 0.9006   | 0.536  
74     | 5.9471     | 0.7058     | 4.5516     | 0.6030     | 0.0867     | 0.1595       | 0.3764       |             | 0.9224   | 0.536  
75     | 5.9718     | 0.6579     | 4.6600     | 0.5735     | 0.0804     | 0.1866       | 0.4131       |             | 0.9433   | 0.600  
76     | 5.7373     | 0.6407     | 4.4505     | 0.5650     | 0.0811     | 0.1308       | 0.3703       | (saved)     | 0.9439   | 0.501  
77     | 5.8462     | 0.6547     | 4.5446     | 0.5690     | 0.0779     | 0.1327       | 0.3775       |             | 0.8738   | 0.510  
78     | 5.5756     | 0.6250     | 4.3506     | 0.5223     | 0.0777     | 0.1354       | 0.3324       | (saved)     | 0.8921   | 0.468  
79     | 5.6224     | 0.6192     | 4.3966     | 0.5300     | 0.0766     | 0.1313       | 0.3457       |             | 0.9161   | 0.477  
80     | 5.8398     | 0.6313     | 4.6075     | 0.5265     | 0.0745     | 0.1111       | 0.3826       |             | 0.9248   | 0.494  
81     | 5.7570     | 0.6235     | 4.5116     | 0.5448     | 0.0771     | 0.1340       | 0.3310       | (saved)     | 0.8648   | 0.465  
82     | 5.6742     | 0.5942     | 4.4893     | 0.5165     | 0.0742     | 0.1323       | 0.3669       |             | 0.9058   | 0.499  
83     | 5.7712     | 0.5999     | 4.5643     | 0.5295     | 0.0775     | 0.1187       | 0.3898       |             | 0.8949   | 0.509  
84     | 5.6113     | 0.5938     | 4.4241     | 0.5175     | 0.0759     | 0.1241       | 0.3321       | (saved)     | 0.9668   | 0.456  
85     | 5.4967     | 0.5505     | 4.3606     | 0.5131     | 0.0725     | 0.1087       | 0.3348       | (saved)     | 0.8971   | 0.443  
86     | 5.2534     | 0.5468     | 4.1459     | 0.4888     | 0.0719     | 0.1232       | 0.3369       |             | 0.9180   | 0.460  
87     | 5.2506     | 0.5478     | 4.1554     | 0.4738     | 0.0735     | 0.1246       | 0.3216       |             | 0.9360   | 0.446  
88     | 5.3329     | 0.6012     | 4.1697     | 0.4875     | 0.0745     | 0.1378       | 0.3351       |             | 0.9610   | 0.473  
89     | 5.3545     | 0.5852     | 4.2068     | 0.4900     | 0.0726     | 0.1336       | 0.3372       |             | 0.9399   | 0.471  
90     | 5.5024     | 0.5732     | 4.3637     | 0.4942     | 0.0713     | 0.1223       | 0.3247       |             | 0.9525   | 0.447  
91     | 5.5005     | 0.5849     | 4.3634     | 0.4844     | 0.0679     | 0.1449       | 0.3350       |             | 0.8982   | 0.480  
