Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.1934    | 3.5335     | 5.5383     | 3.6978     | 0.4238     | 2.9875       | 3.7213       |             | 1.5775   | 6.709  
2      | 12.0769    | 2.9040     | 5.4077     | 3.5203     | 0.2449     | 2.4467       | 3.4392       |             | 1.3230   | 5.886  
3      | 11.1333    | 2.5085     | 5.3104     | 3.1174     | 0.1970     | 2.0928       | 2.8646       |             | 1.1890   | 4.957  
4      | 10.2479    | 2.3604     | 5.1874     | 2.5400     | 0.1601     | 1.8271       | 2.2768       |             | 1.2397   | 4.104  
5      | 9.3935     | 2.1737     | 5.0230     | 2.0480     | 0.1487     | 1.6662       | 1.6382       |             | 1.2204   | 3.304  
6      | 8.7532     | 2.0541     | 4.8248     | 1.7336     | 0.1406     | 1.3397       | 1.5246       |             | 1.2045   | 2.864  
7      | 7.9947     | 1.8408     | 4.5662     | 1.4669     | 0.1208     | 1.1793       | 1.1188       |             | 1.1744   | 2.298  
8      | 7.4284     | 1.7223     | 4.3174     | 1.2631     | 0.1255     | 0.9874       | 1.0107       |             | 1.1834   | 1.998  
9      | 6.8057     | 1.5607     | 4.0248     | 1.1046     | 0.1156     | 0.9560       | 0.8141       |             | 1.1767   | 1.770  
10     | 6.2107     | 1.4022     | 3.6771     | 1.0193     | 0.1122     | 0.7890       | 0.7430       |             | 1.2328   | 1.532  
11     | 5.7203     | 1.3338     | 3.3910     | 0.8923     | 0.1032     | 0.7184       | 0.6563       |             | 1.2181   | 1.375  
12     | 5.3064     | 1.2399     | 3.1342     | 0.8355     | 0.0969     | 0.7542       | 0.5919       |             | 1.1833   | 1.346  
13     | 4.9164     | 1.2045     | 2.8311     | 0.7824     | 0.0984     | 0.6079       | 0.5668       |             | 1.1490   | 1.175  
14     | 4.5907     | 1.0989     | 2.6671     | 0.7311     | 0.0936     | 0.5334       | 0.4901       |             | 1.1812   | 1.024  
15     | 4.3956     | 1.0273     | 2.5708     | 0.6971     | 0.1004     | 0.4656       | 0.5470       |             | 1.1657   | 1.013  
16     | 4.1924     | 1.0502     | 2.4175     | 0.6333     | 0.0914     | 0.4924       | 0.4770       |             | 1.1766   | 0.969  
17     | 3.8568     | 0.9488     | 2.1929     | 0.6282     | 0.0869     | 0.4789       | 0.4512       |             | 1.1375   | 0.930  
18     | 3.7640     | 0.9100     | 2.1695     | 0.5950     | 0.0894     | 0.4342       | 0.4441       |             | 1.1264   | 0.878  
19     | 3.6756     | 0.9223     | 2.1263     | 0.5375     | 0.0895     | 0.3836       | 0.4085       |             | 1.1240   | 0.792  
20     | 3.7384     | 0.8520     | 2.2575     | 0.5449     | 0.0840     | 0.3098       | 0.4543       |             | 1.1133   | 0.764  
21     | 3.8173     | 0.8527     | 2.3143     | 0.5647     | 0.0857     | 0.2977       | 0.4586       |             | 1.0867   | 0.756  
22     | 3.5791     | 0.8349     | 2.1206     | 0.5405     | 0.0831     | 0.4483       | 0.3299       |             | 1.1113   | 0.778  
23     | 3.4779     | 0.8215     | 2.0195     | 0.5529     | 0.0840     | 0.2414       | 0.6240       |             | 1.0922   | 0.865  
24     | 3.5738     | 0.8152     | 2.1326     | 0.5401     | 0.0859     | 0.4607       | 0.3214       |             | 1.1247   | 0.782  
25     | 3.3015     | 0.8032     | 1.9221     | 0.4951     | 0.0812     | 0.2767       | 0.4428       |             | 1.1363   | 0.719  
26     | 3.3489     | 0.7751     | 1.9942     | 0.4964     | 0.0832     | 0.3025       | 0.3774       |             | 1.1172   | 0.680  
27     | 3.2938     | 0.7445     | 1.9706     | 0.4963     | 0.0824     | 0.2024       | 0.5392       |             | 1.0775   | 0.742  
28     | 3.2849     | 0.7642     | 1.9521     | 0.4877     | 0.0810     | 0.3091       | 0.3343       |             | 1.1148   | 0.643  
29     | 3.4777     | 0.7687     | 2.1153     | 0.5117     | 0.0819     | 0.2535       | 0.4881       |             | 1.1475   | 0.742  
30     | 3.3945     | 0.7367     | 2.0697     | 0.5018     | 0.0864     | 0.3672       | 0.3741       |             | 1.0919   | 0.741  
31     | 4.0335     | 0.7970     | 2.5968     | 0.5505     | 0.0891     | 0.1772       | 0.6224       |             | 1.0604   | 0.800  
32     | 3.8713     | 0.7473     | 2.5141     | 0.5213     | 0.0886     | 0.1929       | 0.4657       |             | 1.1788   | 0.659  
33     | 3.7816     | 0.7150     | 2.4252     | 0.5542     | 0.0872     | 0.2187       | 0.4449       |             | 1.1279   | 0.664  
34     | 4.0812     | 0.7380     | 2.7201     | 0.5359     | 0.0872     | 0.1701       | 0.5388       |             | 1.1033   | 0.709  
35     | 4.3910     | 0.7173     | 2.9895     | 0.5909     | 0.0933     | 0.1997       | 0.5730       |             | 1.0619   | 0.773  
36     | 4.5179     | 0.7394     | 3.0836     | 0.6024     | 0.0926     | 0.1877       | 0.4547       |             | 1.1568   | 0.642  
37     | 4.4294     | 0.7060     | 3.0207     | 0.6078     | 0.0950     | 0.1616       | 0.4794       |             | 1.0958   | 0.641  
38     | 4.6176     | 0.6964     | 3.2184     | 0.6070     | 0.0959     | 0.2147       | 0.4243       |             | 1.1158   | 0.639  
39     | 5.3284     | 0.7471     | 3.8220     | 0.6616     | 0.0977     | 0.2115       | 0.3469       |             | 1.0870   | 0.558  
40     | 4.7371     | 0.7004     | 3.3366     | 0.6052     | 0.0949     | 0.1463       | 0.4286       |             | 1.1153   | 0.575  
41     | 4.4304     | 0.6759     | 3.1005     | 0.5655     | 0.0885     | 0.1656       | 0.3114       |             | 1.1456   | 0.477  
42     | 4.4756     | 0.7091     | 3.1139     | 0.5644     | 0.0882     | 0.1720       | 0.3409       |             | 1.0879   | 0.513  
43     | 4.4343     | 0.6569     | 3.1414     | 0.5540     | 0.0820     | 0.1383       | 0.4090       |             | 1.1418   | 0.547  
44     | 4.4511     | 0.6199     | 3.1518     | 0.5942     | 0.0852     | 0.1620       | 0.3409       |             | 1.0327   | 0.503  
45     | 4.7044     | 0.6381     | 3.3839     | 0.5930     | 0.0894     | 0.2000       | 0.3231       |             | 1.0571   | 0.523  
46     | 4.8886     | 0.6362     | 3.5904     | 0.5744     | 0.0876     | 0.1432       | 0.3022       |             | 1.0652   | 0.445  
47     | 5.0416     | 0.6627     | 3.6958     | 0.5942     | 0.0889     | 0.1449       | 0.3856       |             | 1.0560   | 0.530  
48     | 5.0435     | 0.6771     | 3.7020     | 0.5741     | 0.0903     | 0.1422       | 0.3623       |             | 1.0726   | 0.504  
49     | 5.6144     | 0.6921     | 4.2064     | 0.6236     | 0.0923     | 0.1663       | 0.3491       |             | 1.1156   | 0.515  
50     | 5.6185     | 0.7610     | 4.1342     | 0.6175     | 0.1058     | 0.1763       | 0.3440       |             | 1.0738   | 0.520  
51     | 5.4483     | 0.6922     | 4.0468     | 0.6083     | 0.1009     | 0.1257       | 0.4187       | (saved)     | 1.0505   | 0.544  
52     | 5.3620     | 0.6325     | 4.0339     | 0.5964     | 0.0992     | 0.1192       | 0.3728       | (saved)     | 1.0429   | 0.492  
53     | 4.9622     | 0.6177     | 3.6915     | 0.5578     | 0.0953     | 0.1360       | 0.3330       | (saved)     | 1.0114   | 0.469  
54     | 4.9968     | 0.6036     | 3.7539     | 0.5479     | 0.0913     | 0.1353       | 0.3459       |             | 1.0430   | 0.481  
55     | 5.3023     | 0.6453     | 4.0169     | 0.5502     | 0.0898     | 0.1480       | 0.3213       |             | 1.0505   | 0.469  
56     | 5.2079     | 0.5843     | 3.9701     | 0.5644     | 0.0891     | 0.1373       | 0.3667       |             | 1.0687   | 0.504  
57     | 5.4933     | 0.6705     | 4.1445     | 0.5807     | 0.0977     | 0.1393       | 0.3886       |             | 1.0795   | 0.528  
58     | 6.0771     | 0.6948     | 4.6562     | 0.6249     | 0.1011     | 0.1386       | 0.3975       |             | 1.0471   | 0.536  
