timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4,SSID_1,BSSID_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,Succ_4,Att_4,Rate_4
667184159,1-11,399.0,7269.0,3675.0,7347.0,-58.0,-68.0,-58.0,-57.0,435.0,456.0,556.0,619.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667191020,1-11,526.0,7230.0,3597.0,7425.0,-56.0,-68.0,-60.0,-60.0,646.0,530.0,573.0,468.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667185176,1-11,545.0,7230.0,3636.0,7347.0,-57.0,-68.0,-59.0,-59.0,258.0,505.0,707.0,557.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667188720,1-11,545.0,7423.0,3802.0,7425.0,-57.0,-68.0,-59.0,-55.0,311.0,469.0,473.0,395.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667188572,1-11,399.0,7230.0,3675.0,7347.0,-57.0,-68.0,-57.0,-59.0,572.0,489.0,542.0,363.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667185874,1-11,340.0,7152.0,3636.0,7347.0,-57.0,-67.0,-58.0,-57.0,592.0,1029.0,559.0,331.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667189618,1-11,311.0,7308.0,3694.0,7425.0,-57.0,-68.0,-59.0,-57.0,761.0,964.0,503.0,293.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667186858,1-11,963.0,7269.0,3597.0,7386.0,-57.0,-67.0,-61.0,-59.0,863.0,472.0,546.0,348.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667190576,1-11,284.0,7230.0,3675.0,7386.0,-56.0,-68.0,-55.0,-60.0,559.0,524.0,481.0,355.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667187983,1-11,399.0,7347.0,3714.0,7386.0,-57.0,-68.0,-60.0,-59.0,440.0,460.0,443.0,399.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667188089,1-11,1022.0,7308.0,3724.0,7464.0,-57.0,-68.0,-55.0,-56.0,835.0,445.0,454.0,402.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667184466,1-11,428.0,7269.0,3714.0,7386.0,-58.0,-68.0,-49.0,-54.0,471.0,530.0,512.0,429.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667191290,1-11,428.0,7298.0,3792.0,7308.0,-55.0,-68.0,-61.0,-58.0,455.0,520.0,433.0,559.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667190177,1-11,399.0,7308.0,3724.0,7347.0,-58.0,-68.0,-50.0,-59.0,492.0,530.0,483.0,513.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667190540,1-11,457.0,7386.0,3753.0,7347.0,,,-60.0,,462.0,434.0,498.0,574.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
