Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4
1767254097383,1-1,64,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61.0,6873.0,1169.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6331.0,101.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-269.0,1470.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,12044.0,794.0,7.0,8.0,87.5
1767254097578,1-1,51,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61.0,6492.0,1244.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6253.0,144.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-269.0,1499.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,12161.0,872.0,7.0,8.0,87.5
1767254097791,1-1,55,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5848.0,1365.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6331.0,156.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-191.0,1491.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,12015.0,979.0,7.0,8.0,87.5
1767254097999,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,6053.0,1362.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6419.0,119.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-269.0,1442.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11810.0,1184.0,7.0,8.0,87.5
1767254098210,1-1,55,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5877.0,1439.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58.0,6331.0,120.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-269.0,1499.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11634.0,1384.0,7.0,8.0,87.5
1767254098417,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59.0,5936.0,1167.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6253.0,148.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-191.0,1452.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11810.0,1203.0,7.0,8.0,87.5
1767254098628,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62.0,5701.0,1457.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6253.0,76.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-191.0,1449.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11575.0,1311.0,7.0,8.0,87.5
1767254098849,1-1,64,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5848.0,1310.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6292.0,120.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-230.0,1496.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11751.0,1179.0,7.0,8.0,87.5
1767254099049,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62.0,5936.0,1286.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6292.0,149.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-230.0,1537.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11693.0,1222.0,7.0,8.0,87.5
1767254099260,1-1,56,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5819.0,1358.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56.0,6331.0,141.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-191.0,1460.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11722.0,1331.0,7.0,8.0,87.5
1767254099458,1-1,44,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62.0,5965.0,1295.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56.0,6361.0,120.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-230.0,1400.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11751.0,1311.0,7.0,8.0,87.5
1767254099690,1-1,68,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5819.0,1350.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56.0,6273.0,195.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-308.0,1366.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11722.0,1204.0,7.0,8.0,87.5
1767254099882,1-1,51,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5877.0,1389.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6273.0,157.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-289.0,1404.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11810.0,1079.0,7.0,8.0,87.5
1767254100096,1-1,57,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58.0,6295.0,1324.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6331.0,110.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-308.0,1353.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11810.0,1092.0,7.0,8.0,87.5
1767254100326,1-1,77,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61.0,5867.0,1340.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6370.0,135.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-269.0,1357.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11722.0,1176.0,7.0,8.0,87.5
1767254100510,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5965.0,1252.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6361.0,91.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-269.0,1273.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11917.0,974.0,5.0,8.0,62.5
1767254100731,1-1,65,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62.0,5528.0,1511.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6370.0,110.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-308.0,1362.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11868.0,985.0,7.0,8.0,87.5
1767254100924,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5907.0,1300.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58.0,6409.0,62.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-269.0,1459.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11898.0,1031.0,7.0,8.0,87.5
1767254101152,1-1,69,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5646.0,1486.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6361.0,93.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-230.0,1479.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11898.0,963.0,7.0,8.0,87.5
1767254101341,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5907.0,1303.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6409.0,127.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-172.0,1620.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,12249.0,782.0,7.0,8.0,87.5
1767254101572,1-1,71,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,6063.0,1210.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6370.0,62.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-230.0,1296.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-72.0,12044.0,1551.0,7.0,8.0,87.5
1767254101764,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,6112.0,1178.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6370.0,93.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-152.0,1441.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,12894.0,1370.0,7.0,8.0,87.5
1767254101968,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5965.0,1254.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6331.0,139.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-191.0,1418.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,12689.0,1485.0,7.0,8.0,87.5
1767254102192,1-1,63,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5936.0,1263.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6370.0,125.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-191.0,1510.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11312.0,2100.0,7.0,8.0,87.5
1767254102410,1-1,73,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5789.0,1356.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6331.0,166.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-230.0,1438.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11575.0,2013.0,7.0,8.0,87.5
1767254102627,1-1,67,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59.0,6119.0,1325.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6292.0,141.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-308.0,1479.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11605.0,1977.0,7.0,8.0,87.5
1767254102826,1-1,58,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5965.0,1294.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6253.0,156.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-269.0,1428.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11429.0,2043.0,7.0,8.0,87.5
1767254103031,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5994.0,1278.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6331.0,118.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-152.0,1426.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11341.0,2026.0,7.0,8.0,87.5
1767254103254,1-1,66,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5994.0,1256.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6292.0,120.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-230.0,1495.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11370.0,2109.0,7.0,8.0,87.5
