Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1
1767254095056,1-1,48,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,6112,1150,7,8,87.5
1767254095276,1-1,61,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,6053,1309,7,8,87.5
1767254095491,1-1,64,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,5789,1414,7,8,87.5
1767254095692,1-1,50,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,5731,1441,7,8,87.5
1767254095907,1-1,56,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5594,1566,7,8,87.5
1767254096114,1-1,52,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,5496,1622,7,8,87.5
1767254096320,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5731,1325,7,8,87.5
1767254096542,1-1,62,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,5145,1676,7,8,87.5
1767254096742,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,6495,1554,7,8,87.5
1767254096959,1-1,61,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,7266,656,7,8,87.5
1767254097161,1-1,52,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,5651,1705,7,8,87.5
1767254097383,1-1,64,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,6873,1169,7,8,87.5
1767254097578,1-1,51,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,6492,1244,7,8,87.5
1767254097791,1-1,55,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5848,1365,7,8,87.5
1767254097999,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,6053,1362,7,8,87.5
1767254098210,1-1,55,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5877,1439,7,8,87.5
1767254098417,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,5936,1167,7,8,87.5
1767254098628,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,5701,1457,7,8,87.5
1767254098849,1-1,64,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5848,1310,7,8,87.5
1767254099049,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,5936,1286,7,8,87.5
1767254099260,1-1,56,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5819,1358,7,8,87.5
1767254099458,1-1,44,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,5965,1295,7,8,87.5
1767254099690,1-1,68,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5819,1350,7,8,87.5
1767254099882,1-1,51,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5877,1389,7,8,87.5
1767254100096,1-1,57,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,6295,1324,7,8,87.5
1767254100326,1-1,77,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,5867,1340,7,8,87.5
1767254100510,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5965,1252,7,8,87.5
1767254100731,1-1,65,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,5528,1511,7,8,87.5
1767254100924,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5907,1300,7,8,87.5
1767254101152,1-1,69,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5646,1486,7,8,87.5
1767254101341,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5907,1303,7,8,87.5
1767254101572,1-1,71,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,6063,1210,7,8,87.5
1767254101764,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,6112,1178,7,8,87.5
1767254101968,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5965,1254,7,8,87.5
1767254102192,1-1,63,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5936,1263,7,8,87.5
1767254102410,1-1,73,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5789,1356,7,8,87.5
1767254102627,1-1,67,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,6119,1325,7,8,87.5
1767254102826,1-1,58,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5965,1294,7,8,87.5
1767254103031,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5994,1278,7,8,87.5
1767254103254,1-1,66,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5994,1256,7,8,87.5
1767254103449,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,6024,1262,7,8,87.5
1767254103677,1-1,69,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,5848,1390,7,8,87.5
1767254103871,1-1,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5936,1367,7,8,87.5
1767254104092,1-1,66,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,6082,1230,7,8,87.5
