Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
Fusion_RTT_1_2,98.9456,0.0142,29.8299,1.0509,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.2993,0.0288,30.3401,1.1040,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.7075,0.0159,28.0612,1.1110,"[42, 6767, 123456]"
Fusion_RTT_2_3,97.5170,0.0307,22.9932,1.1456,"[42, 6767, 123456]"
Fusion_RTT_2_4,97.7891,0.0278,23.5714,1.1999,"[42, 6767, 123456]"
Fusion_RTT_3_4,97.7551,0.0369,28.4014,1.2112,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,99.0476,0.0122,30.9524,0.9581,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,98.9116,0.0118,30.3401,1.0297,"[42, 6767, 123456]"
Fusion_RTT_1_3_4,98.9796,0.0147,30.0000,1.1022,"[42, 6767, 123456]"
Fusion_RTT_2_3_4,98.2993,0.0224,28.8435,1.0401,"[42, 6767, 123456]"
Fusion_RTT_1_2_3_4,99.0816,0.0121,32.4830,0.9464,"[42, 6767, 123456]"
Only_RTT_1,31.1565,2.1329,16.7347,2.5880,"[42, 6767, 123456]"
Only_RTT_2,33.0272,2.0321,9.3537,2.4879,"[42, 6767, 123456]"
Only_RTT_3,32.8912,1.9353,13.3333,2.3309,"[42, 6767, 123456]"
Only_RTT_4,17.5850,2.6556,9.8299,2.5118,"[42, 6767, 123456]"
Only_RTT_1_2,82.3129,0.4622,26.9388,1.7714,"[42, 6767, 123456]"
Only_RTT_1_3,76.3265,0.3481,31.0204,1.2805,"[42, 6767, 123456]"
Only_RTT_1_4,76.0204,0.4493,36.2925,1.0601,"[42, 6767, 123456]"
Only_RTT_2_3,79.2517,0.2614,34.6599,0.9156,"[42, 6767, 123456]"
Only_RTT_2_4,67.1769,0.5237,21.9048,1.2927,"[42, 6767, 123456]"
Only_RTT_3_4,57.8231,1.2929,18.1293,2.3355,"[42, 6767, 123456]"
Only_RTT_1_2_3,93.0952,0.0836,30.7483,0.9491,"[42, 6767, 123456]"
Only_RTT_1_2_4,95.5782,0.0491,30.5442,0.9667,"[42, 6767, 123456]"
Only_RTT_1_3_4,92.8912,0.1130,27.0068,1.1848,"[42, 6767, 123456]"
Only_RTT_2_3_4,93.0952,0.1006,27.7211,1.0424,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,96.5306,0.0334,31.8367,0.8948,"[42, 6767, 123456]"

// 2026/2/4 調整 dann fusiondann 數據 (without_entropy_model_delection)
Fusion_RTT_1,97.5170,0.0421,33.2993,1.2585,"[42, 6767, 123456]"
Fusion_RTT_2,97.1769,0.0422,26.0884,1.2910,"[42, 6767, 123456]"
Fusion_RTT_3,95.6803,0.0786,27.2449,1.1868,"[42, 6767, 123456]"
Fusion_RTT_4,96.5986,0.0643,25.2041,1.3383,"[42, 6767, 123456]"
