Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
6-5,-2.40,3.00,2.30,-80.23
6-6,-3.00,3.00,6.74,3121.02
6-7,-3.60,3.00,7.67,-3337.81
6-8,-4.20,3.00,-0.04,1933.64
6-9,-4.80,3.00,-2.76,1722.41
7-1,0.00,3.60,-5.11,-1768.08
7-11,-6.00,3.60,3.49,-525.73
8-1,0.00,4.20,3.58,-2297.33
8-11,-6.00,4.20,7.46,126.95
9-1,0.00,4.80,10.47,520.29
9-11,-6.00,4.80,1.48,-238.54
