Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
1-10,-5.40,0.00,8.91,1286.45
1-11,-6.00,0.00,-1.40,270.54
1-2,-0.60,0.00,3.84,-235.63
1-3,-1.20,0.00,5.25,20.14
1-4,-1.80,0.00,-1.27,-445.87
1-5,-2.40,0.00,0.90,11.73
1-6,-3.00,0.00,-2.04,-644.15
1-7,-3.60,0.00,-7.05,463.99
1-8,-4.20,0.00,0.10,-186.58
1-9,-4.80,0.00,0.66,-33.06
10-1,0.00,5.40,-6.45,655.78
10-11,-6.00,5.40,3.25,11.00
11-1,0.00,6.00,3.96,-1338.57
11-10,-5.40,6.00,-2.47,-888.51
11-11,-6.00,6.00,13.92,-343.47
11-2,-0.60,6.00,-5.62,-177.95
11-3,-1.20,6.00,0.09,2959.60
11-4,-1.80,6.00,-0.51,-1015.96
11-5,-2.40,6.00,1.74,-3114.92
11-6,-3.00,6.00,10.27,-486.03
11-7,-3.60,6.00,5.13,-2438.25
11-8,-4.20,6.00,1.85,-63.59
11-9,-4.80,6.00,5.05,-8.58
2-1,0.00,0.60,3.99,1176.52
2-11,-6.00,0.60,-3.22,-154.23
3-1,0.00,1.20,4.00,1093.51
3-11,-6.00,1.20,1.81,537.42
4-1,0.00,1.80,-3.19,1704.69
4-11,-6.00,1.80,1.08,-924.64
5-1,0.00,2.40,1.35,227.55
5-11,-6.00,2.40,4.04,-153.73
6-1,0.00,3.00,-2.10,215.46
6-10,-5.40,3.00,-6.44,4094.73
6-11,-6.00,3.00,-0.93,768.48
6-2,-0.60,3.00,-4.82,-1617.70
6-3,-1.20,3.00,4.00,-1334.80
6-4,-1.80,3.00,2.05,2682.22
6-5,-2.40,3.00,-0.86,-855.73
6-6,-3.00,3.00,-6.61,1896.74
6-7,-3.60,3.00,5.48,-3281.65
6-8,-4.20,3.00,-1.15,1224.61
6-9,-4.80,3.00,1.07,2960.45
7-1,0.00,3.60,5.95,-1044.68
7-11,-6.00,3.60,3.08,-396.93
8-1,0.00,4.20,-4.01,-824.32
8-11,-6.00,4.20,-0.25,208.64
9-1,0.00,4.80,4.84,787.79
9-11,-6.00,4.80,3.34,-1011.37
