==========================================
Current Architecture: GeoSPA-Net (Fixed)
mcAPs (Real Anchors): [2, 4] (Indices: [1, 3])
Legacy APs (Virtual): [1, 3] (Indices: [0, 2])
==========================================

Start GeoSPA-Net Training Seed 42...
Epoch  | Total Loss | Tr Cls     | Tr Dom RSSI  | Tr Dom RTT   | Val T Acc  | Val T Entropy | Test MDE
------------------------------------------------------------------------------------------------------------------------
10     | 4.1968     | 1.9425     | 1.1258       | 1.1286       | 0.8927     | 3.1781       | 0.8208   |           
20     | 3.1340     | 1.1980     | 0.9475       | 0.9885       | 0.9615     | 2.4490       | 0.8549   | (ADV -0.26)
30     | 2.8801     | 0.8707     | 0.9795       | 1.0299       | 0.9583     | 1.8878       | 0.7862   |           
40     | 2.8033     | 0.7501     | 0.9857       | 1.0675       | 0.9667     | 1.5779       | 0.8298   |           
50     | 2.6411     | 0.6230     | 0.9606       | 1.0576       | 0.9740     | 1.2637       | 0.8320   |           
60     | 2.5355     | 0.5572     | 0.9595       | 1.0188       | 0.9854     | 1.1422       | 0.8887   |           
70     | 2.6197     | 0.5667     | 0.9724       | 1.0805       | 0.9844     | 1.0217       | 0.8254   | (ADV 0.47)
80     | 2.6487     | 0.5540     | 0.9925       | 1.1021       | 0.9802     | 1.0198       | 0.8163   |           
90     | 2.6185     | 0.5042     | 1.0063       | 1.1080       | 0.9812     | 0.8999       | 0.7570   | (ADV 0.53)
100    | 2.6452     | 0.5031     | 1.0483       | 1.0938       | 0.9812     | 0.9025       | 0.7854   |           
110    | 2.7112     | 0.5245     | 1.0660       | 1.1206       | 0.9792     | 0.9104       | 0.7688   |           
120    | 2.6944     | 0.5014     | 1.0885       | 1.1045       | 0.9833     | 0.8128       | 0.7180   |           
130    | 2.7548     | 0.4906     | 1.1168       | 1.1474       | 0.9750     | 0.8056       | 0.7403   |           
140    | 2.7046     | 0.4578     | 1.1087       | 1.1382       | 0.9771     | 0.7965       | 0.7084   |           
150    | 2.7763     | 0.4844     | 1.1419       | 1.1500       | 0.9771     | 0.7943       | 0.7140   |           
160    | 2.7993     | 0.5161     | 1.1422       | 1.1409       | 0.9729     | 0.7560       | 0.7024   |           
170    | 2.7928     | 0.4711     | 1.1569       | 1.1647       | 0.9771     | 0.7024       | 0.7812   |           
180    | 2.7993     | 0.4682     | 1.1681       | 1.1630       | 0.9792     | 0.6704       | 0.6563   | (ADV 0.64)
190    | 2.8550     | 0.4853     | 1.1797       | 1.1900       | 0.9823     | 0.7123       | 0.7914   |           
200    | 2.8800     | 0.4694     | 1.2017       | 1.2088       | 0.9708     | 0.6816       | 0.7178   |           
210    | 2.8516     | 0.4698     | 1.2016       | 1.1802       | 0.9740     | 0.6675       | 0.8509   |           
220    | 2.8074     | 0.4146     | 1.2006       | 1.1922       | 0.9750     | 0.6407       | 0.8856   |           
230    | 2.9187     | 0.5078     | 1.2321       | 1.1787       | 0.9823     | 0.6835       | 0.8030   |           
240    | 2.8420     | 0.4399     | 1.2099       | 1.1922       | 0.9771     | 0.6133       | 0.7989   |           
250    | 2.8822     | 0.4859     | 1.2016       | 1.1946       | 0.9823     | 0.5976       | 0.7785   |           
260    | 2.7911     | 0.4004     | 1.1832       | 1.2076       | 0.9729     | 0.5404       | 0.7170   |           
270    | 2.8252     | 0.4215     | 1.1976       | 1.2061       | 0.9750     | 0.5783       | 0.7491   |           
280    | 2.7768     | 0.3787     | 1.1919       | 1.2062       | 0.9729     | 0.5551       | 0.6816   |           
290    | 2.8498     | 0.4002     | 1.2239       | 1.2257       | 0.9729     | 0.5875       | 0.7453   |           
300    | 2.8313     | 0.3980     | 1.2298       | 1.2036       | 0.9771     | 0.5316       | 0.6974   |           
310    | 2.7930     | 0.3642     | 1.2160       | 1.2128       | 0.9781     | 0.5113       | 0.7579   |           
320    | 2.8775     | 0.4293     | 1.2312       | 1.2169       | 0.9719     | 0.5199       | 0.7806   |           
330    | 2.8127     | 0.3863     | 1.2257       | 1.2007       | 0.9792     | 0.5192       | 0.7314   |           
340    | 2.8416     | 0.3932     | 1.2465       | 1.2020       | 0.9646     | 0.5107       | 0.8052   |           
350    | 2.9315     | 0.4114     | 1.2740       | 1.2461       | 0.9812     | 0.5595       | 0.7602   |           
360    | 2.8890     | 0.4071     | 1.2504       | 1.2315       | 0.9646     | 0.5911       | 0.8073   |           
370    | 2.8640     | 0.3767     | 1.2608       | 1.2265       | 0.9823     | 0.5248       | 0.7466   |           
380    | 2.8403     | 0.3657     | 1.2550       | 1.2196       | 0.9865     | 0.4999       | 0.7523   |           
390    | 2.8637     | 0.3820     | 1.2482       | 1.2335       | 0.9771     | 0.5595       | 0.6969   |           
400    | 2.8267     | 0.3519     | 1.2437       | 1.2311       | 0.9719     | 0.4684       | 0.7294   |           
410    | 2.8466     | 0.3561     | 1.2617       | 1.2287       | 0.9781     | 0.4793       | 0.6440   |           
420    | 2.8479     | 0.3657     | 1.2636       | 1.2186       | 0.9823     | 0.5076       | 0.8288   |           
430    | 2.9098     | 0.3715     | 1.2874       | 1.2509       | 0.9719     | 0.4686       | 0.6943   |           
440    | 2.8409     | 0.3321     | 1.2774       | 1.2314       | 0.9771     | 0.4873       | 0.7660   |           
450    | 2.8620     | 0.3457     | 1.2790       | 1.2373       | 0.9771     | 0.4957       | 0.8552   |           
460    | 2.8917     | 0.3619     | 1.2949       | 1.2348       | 0.9854     | 0.4411       | 0.7945   |           
470    | 2.8644     | 0.3516     | 1.2762       | 1.2366       | 0.9781     | 0.4536       | 0.8627   |           
480    | 2.8648     | 0.3323     | 1.2941       | 1.2383       | 0.9771     | 0.4667       | 0.8415   |           
490    | 2.8567     | 0.3266     | 1.2704       | 1.2597       | 0.9833     | 0.4512       | 0.8834   |           
500    | 2.9151     | 0.3704     | 1.2909       | 1.2538       | 0.9781     | 0.4794       | 0.9081   |           
Seed 42 | Src Acc: 98.0612 | Src MDE: 0.0322 | Tgt Acc: 36.8367 | Tgt MDE: 0.7710

Start GeoSPA-Net Training Seed 67...
Epoch  | Total Loss | Tr Cls     | Tr Dom RSSI  | Tr Dom RTT   | Val T Acc  | Val T Entropy | Test MDE
------------------------------------------------------------------------------------------------------------------------
10     | 4.3243     | 2.0208     | 1.1307       | 1.1727       | 0.9229     | 3.1774       | 0.8270   |           
20     | 3.1980     | 1.1798     | 0.9722       | 1.0459       | 0.9500     | 2.3210       | 0.7696   |           
30     | 2.9650     | 0.8968     | 0.9741       | 1.0941       | 0.9719     | 1.8315       | 0.8046   | (ADV 0.06)
40     | 2.7852     | 0.7126     | 0.9847       | 1.0879       | 0.9688     | 1.4538       | 0.8238   | (ADV 0.24)
50     | 2.6818     | 0.6321     | 0.9893       | 1.0604       | 0.9719     | 1.3085       | 0.8364   | (ADV 0.32)
60     | 2.5754     | 0.5285     | 0.9770       | 1.0699       | 0.9698     | 1.1303       | 0.8237   | (ADV 0.40)
70     | 2.6952     | 0.5646     | 1.0255       | 1.1051       | 0.9729     | 1.0891       | 0.8527   |           
80     | 2.7223     | 0.5395     | 1.0753       | 1.1075       | 0.9688     | 0.9736       | 0.8714   |           
90     | 2.6736     | 0.5058     | 1.0632       | 1.1046       | 0.9719     | 0.8931       | 0.8925   |           
100    | 2.6947     | 0.4981     | 1.0881       | 1.1085       | 0.9740     | 0.7915       | 0.8777   | (ADV 0.58)
110    | 2.7792     | 0.5195     | 1.1330       | 1.1267       | 0.9667     | 0.8294       | 0.7996   |           
120    | 2.7942     | 0.5113     | 1.1475       | 1.1355       | 0.9719     | 0.8604       | 0.8909   |           
130    | 2.6869     | 0.4474     | 1.1174       | 1.1221       | 0.9708     | 0.7814       | 0.8638   |           
140    | 2.7379     | 0.4646     | 1.1306       | 1.1426       | 0.9635     | 0.8095       | 0.8531   |           
150    | 2.8105     | 0.5010     | 1.1583       | 1.1513       | 0.9552     | 0.7930       | 0.7729   |           
160    | 2.8410     | 0.5083     | 1.1821       | 1.1506       | 0.9688     | 0.7414       | 0.8844   |           
170    | 2.7060     | 0.4229     | 1.1394       | 1.1438       | 0.9667     | 0.7672       | 0.7339   |           
180    | 2.8816     | 0.4865     | 1.2046       | 1.1906       | 0.9656     | 0.7634       | 0.8391   |           
190    | 2.7566     | 0.4207     | 1.1976       | 1.1384       | 0.9646     | 0.6707       | 0.8379   |           
200    | 2.8064     | 0.4626     | 1.1969       | 1.1469       | 0.9635     | 0.7399       | 0.8795   |           
210    | 2.8108     | 0.4935     | 1.1638       | 1.1535       | 0.9729     | 0.6699       | 0.8879   |           
220    | 2.7998     | 0.4311     | 1.1917       | 1.1770       | 0.9552     | 0.7158       | 0.8574   |           
230    | 2.8151     | 0.4272     | 1.2032       | 1.1847       | 0.9667     | 0.6778       | 0.8407   |           
240    | 2.7590     | 0.3841     | 1.2281       | 1.1468       | 0.9594     | 0.6845       | 0.7838   |           
250    | 2.8112     | 0.4077     | 1.2070       | 1.1965       | 0.9698     | 0.6400       | 0.8031   |           
260    | 2.8922     | 0.4831     | 1.2194       | 1.1896       | 0.9740     | 0.6325       | 0.7853   |           
270    | 2.8579     | 0.4448     | 1.2193       | 1.1937       | 0.9646     | 0.6954       | 0.7978   |           
280    | 2.8389     | 0.4472     | 1.2043       | 1.1874       | 0.9760     | 0.5992       | 0.8366   |           
290    | 2.8596     | 0.4437     | 1.2258       | 1.1900       | 0.9740     | 0.5869       | 0.8314   |           
300    | 2.7577     | 0.3838     | 1.2155       | 1.1584       | 0.9719     | 0.6133       | 0.8888   |           
310    | 2.8229     | 0.3985     | 1.2088       | 1.2155       | 0.9750     | 0.6328       | 0.8133   |           
320    | 2.7954     | 0.3897     | 1.2050       | 1.2007       | 0.9667     | 0.5924       | 0.7470   |           
330    | 2.8606     | 0.3994     | 1.2217       | 1.2396       | 0.9729     | 0.5824       | 0.7534   |           
340    | 2.8671     | 0.4469     | 1.2192       | 1.2011       | 0.9708     | 0.5366       | 0.6352   |           
350    | 2.7553     | 0.3536     | 1.2113       | 1.1903       | 0.9656     | 0.5582       | 0.7173   |           
360    | 2.8308     | 0.3712     | 1.2386       | 1.2210       | 0.9708     | 0.5065       | 0.8262   |           
370    | 2.9037     | 0.4244     | 1.2307       | 1.2485       | 0.9708     | 0.5610       | 0.7880   |           
380    | 2.8630     | 0.3909     | 1.2436       | 1.2284       | 0.9729     | 0.4879       | 0.8112   |           
390    | 2.8697     | 0.3829     | 1.2397       | 1.2471       | 0.9698     | 0.4885       | 0.7719   |           
400    | 2.8409     | 0.3785     | 1.2387       | 1.2236       | 0.9688     | 0.5204       | 0.9462   |           
410    | 2.8121     | 0.3424     | 1.2398       | 1.2299       | 0.9708     | 0.5033       | 0.8376   |           
420    | 2.8478     | 0.3579     | 1.2301       | 1.2597       | 0.9688     | 0.5177       | 0.7412   |           
430    | 2.8782     | 0.3616     | 1.2568       | 1.2598       | 0.9719     | 0.5023       | 0.7843   |           
440    | 2.8818     | 0.3811     | 1.2470       | 1.2537       | 0.9646     | 0.5387       | 0.8104   |           
450    | 2.8320     | 0.3357     | 1.2483       | 1.2480       | 0.9688     | 0.5264       | 0.8078   |           
460    | 2.9125     | 0.3914     | 1.2600       | 1.2611       | 0.9667     | 0.5345       | 0.8021   |           
470    | 2.8488     | 0.3463     | 1.2444       | 1.2580       | 0.9677     | 0.5272       | 0.8438   |           
480    | 2.8721     | 0.3382     | 1.2749       | 1.2591       | 0.9729     | 0.5004       | 0.7589   |           
490    | 2.8586     | 0.3531     | 1.2649       | 1.2406       | 0.9698     | 0.5147       | 0.7314   |           
500    | 2.8742     | 0.3388     | 1.2728       | 1.2627       | 0.9604     | 0.4446       | 0.7727   |           
Seed 67 | Src Acc: 98.3673 | Src MDE: 0.0272 | Tgt Acc: 37.1429 | Tgt MDE: 0.7638

Start GeoSPA-Net Training Seed 1024...
Epoch  | Total Loss | Tr Cls     | Tr Dom RSSI  | Tr Dom RTT   | Val T Acc  | Val T Entropy | Test MDE
------------------------------------------------------------------------------------------------------------------------
10     | 4.4994     | 2.0893     | 1.1872       | 1.2229       | 0.9010     | 3.1883       | 1.0059   |           
20     | 3.4133     | 1.3059     | 1.0348       | 1.0726       | 0.9667     | 2.3958       | 0.9036   | (ADV -0.23)
30     | 2.9982     | 0.9639     | 0.9777       | 1.0566       | 0.9646     | 1.9134       | 0.9068   |           
40     | 2.9600     | 0.8186     | 1.0241       | 1.1173       | 0.9740     | 1.4887       | 0.9309   | (ADV 0.23)
50     | 2.8216     | 0.7257     | 1.0011       | 1.0948       | 0.9698     | 1.3824       | 0.9620   |           
60     | 2.7976     | 0.6811     | 1.0143       | 1.1022       | 0.9781     | 1.2027       | 0.9888   | (ADV 0.38)
70     | 2.7444     | 0.6085     | 1.0082       | 1.1277       | 0.9760     | 1.1084       | 0.9241   |           
80     | 2.7199     | 0.5922     | 0.9936       | 1.1341       | 0.9760     | 1.0508       | 0.9260   |           
90     | 2.6664     | 0.5676     | 0.9778       | 1.1211       | 0.9708     | 0.9618       | 0.8380   |           
100    | 2.7413     | 0.5583     | 1.0406       | 1.1424       | 0.9615     | 0.9640       | 0.8346   |           
110    | 2.6455     | 0.4915     | 1.0433       | 1.1106       | 0.9740     | 0.9049       | 0.8477   |           
120    | 2.8162     | 0.5756     | 1.1010       | 1.1396       | 0.9698     | 0.8299       | 1.0397   |           
130    | 2.8288     | 0.5653     | 1.1049       | 1.1585       | 0.9792     | 0.7939       | 0.9421   |           
140    | 2.8111     | 0.5248     | 1.1215       | 1.1648       | 0.9792     | 0.7770       | 0.9564   |           
150    | 2.8040     | 0.5415     | 1.1124       | 1.1501       | 0.9833     | 0.7826       | 0.7980   |           
160    | 2.8766     | 0.5440     | 1.1534       | 1.1792       | 0.9646     | 0.7646       | 0.9724   |           
170    | 2.8023     | 0.5071     | 1.1269       | 1.1683       | 0.9604     | 0.7503       | 0.9576   |           
180    | 2.7750     | 0.4802     | 1.1297       | 1.1652       | 0.9729     | 0.7793       | 0.9862   |           
190    | 2.8926     | 0.5447     | 1.1718       | 1.1761       | 0.9656     | 0.7093       | 0.7409   |           
200    | 2.9178     | 0.5654     | 1.1690       | 1.1834       | 0.9521     | 0.7261       | 0.8421   |           
210    | 2.8323     | 0.4950     | 1.1596       | 1.1777       | 0.9583     | 0.7497       | 0.8431   |           
220    | 2.8896     | 0.5143     | 1.1796       | 1.1957       | 0.9812     | 0.6132       | 0.8003   | (ADV 0.67)
230    | 2.8088     | 0.4661     | 1.1631       | 1.1796       | 0.9594     | 0.6377       | 0.7540   |           
240    | 2.8574     | 0.4713     | 1.2028       | 1.1833       | 0.9740     | 0.6580       | 0.7778   |           
250    | 2.8692     | 0.4863     | 1.2010       | 1.1820       | 0.9844     | 0.6581       | 0.7705   |           
260    | 2.7910     | 0.4434     | 1.1694       | 1.1781       | 0.9792     | 0.6380       | 0.7712   |           
270    | 2.8502     | 0.4839     | 1.1895       | 1.1768       | 0.9719     | 0.5892       | 0.7591   |           
280    | 2.8933     | 0.4615     | 1.1971       | 1.2346       | 0.9771     | 0.5716       | 0.8017   |           
290    | 2.7670     | 0.3956     | 1.1794       | 1.1920       | 0.9698     | 0.5375       | 0.7761   |           
300    | 2.7583     | 0.4140     | 1.1646       | 1.1796       | 0.9792     | 0.5921       | 0.7505   |           
310    | 2.8037     | 0.4346     | 1.1744       | 1.1948       | 0.9573     | 0.5653       | 0.8506   |           
320    | 2.9283     | 0.4589     | 1.2194       | 1.2501       | 0.9656     | 0.5632       | 0.8445   |           
330    | 2.8052     | 0.4124     | 1.1901       | 1.2028       | 0.9760     | 0.5698       | 0.8702   |           
340    | 2.8719     | 0.4319     | 1.2465       | 1.1934       | 0.9823     | 0.5882       | 0.7665   |           
350    | 2.8254     | 0.4033     | 1.2203       | 1.2017       | 0.9833     | 0.5110       | 0.8584   |           
360    | 2.8491     | 0.4243     | 1.2232       | 1.2016       | 0.9771     | 0.5414       | 0.8833   |           
370    | 2.8563     | 0.4523     | 1.2123       | 1.1917       | 0.9688     | 0.5090       | 0.7979   |           
