==========================================
Current Architecture: GeoSPA-Net (Fixed)
mcAPs (Real Anchors): [1, 2, 3] (Indices: [0, 1, 2])
Legacy APs (Virtual): [4] (Indices: [3])
==========================================

Start GeoSPA-Net Training Seed 42...
Epoch  | Total Loss | Tr Cls     | Tr Dom RSSI  | Tr Dom RTT   | Val T Acc  | Val T Entropy | Test MDE
------------------------------------------------------------------------------------------------------------------------
10     | 4.2196     | 1.8544     | 1.1555       | 1.2096       | 0.9125     | 3.1582       | 0.6911   |           
20     | 3.1138     | 1.1097     | 0.9722       | 1.0320       | 0.9667     | 2.3884       | 0.6144   | (ADV -0.23)
30     | 2.7406     | 0.7820     | 0.9620       | 0.9966       | 0.9823     | 1.8370       | 0.6143   | (ADV 0.06)
40     | 2.6643     | 0.6959     | 0.9500       | 1.0184       | 0.9792     | 1.5309       | 0.5892   |           
50     | 2.5441     | 0.5788     | 0.9532       | 1.0121       | 0.9854     | 1.1922       | 0.6451   | (ADV 0.39)
60     | 2.5058     | 0.5248     | 0.9648       | 1.0162       | 0.9896     | 1.1173       | 0.6177   | (ADV 0.43)
70     | 2.5396     | 0.5056     | 1.0124       | 1.0215       | 0.9854     | 1.0645       | 0.6070   | (ADV 0.45)
80     | 2.6200     | 0.5026     | 1.0662       | 1.0512       | 0.9792     | 1.0762       | 0.6495   |           
90     | 2.6313     | 0.4874     | 1.1149       | 1.0291       | 0.9823     | 0.9276       | 0.6647   |           
100    | 2.7514     | 0.4731     | 1.1620       | 1.1163       | 0.9740     | 0.8805       | 0.6838   |           
110    | 2.7645     | 0.4773     | 1.1660       | 1.1212       | 0.9823     | 0.7800       | 0.6734   |           
120    | 2.7091     | 0.4732     | 1.1367       | 1.0992       | 0.9812     | 0.7983       | 0.6779   |           
130    | 2.7029     | 0.4442     | 1.1657       | 1.0930       | 0.9771     | 0.6973       | 0.6210   | (ADV 0.63)
140    | 2.7212     | 0.4329     | 1.1503       | 1.1380       | 0.9760     | 0.7061       | 0.7126   |           
150    | 2.7560     | 0.4505     | 1.1771       | 1.1284       | 0.9844     | 0.7322       | 0.6469   |           
160    | 2.7949     | 0.4775     | 1.1680       | 1.1493       | 0.9823     | 0.6418       | 0.7124   | (ADV 0.66)
170    | 2.7567     | 0.4341     | 1.1679       | 1.1548       | 0.9875     | 0.5986       | 0.7288   | (ADV 0.69)
180    | 2.7215     | 0.3977     | 1.1839       | 1.1399       | 0.9802     | 0.6540       | 0.7038   |           
190    | 2.7274     | 0.4101     | 1.1946       | 1.1226       | 0.9708     | 0.6088       | 0.6344   |           
200    | 2.7947     | 0.4402     | 1.2078       | 1.1466       | 0.9625     | 0.5881       | 0.6439   |           
210    | 2.8057     | 0.4202     | 1.2180       | 1.1676       | 0.9812     | 0.6405       | 0.6552   |           
220    | 2.8460     | 0.4573     | 1.2202       | 1.1686       | 0.9844     | 0.6338       | 0.6547   |           
230    | 2.7832     | 0.4019     | 1.2221       | 1.1591       | 0.9802     | 0.5818       | 0.6900   |           
240    | 2.8719     | 0.4377     | 1.2325       | 1.2017       | 0.9792     | 0.5646       | 0.7417   |           
250    | 2.8619     | 0.4359     | 1.2400       | 1.1860       | 0.9865     | 0.5871       | 0.6536   |           
260    | 2.7522     | 0.3872     | 1.1904       | 1.1745       | 0.9854     | 0.6330       | 0.6408   |           
270    | 2.7399     | 0.3702     | 1.2169       | 1.1528       | 0.9844     | 0.5851       | 0.6047   |           
280    | 2.8139     | 0.3485     | 1.2490       | 1.2165       | 0.9792     | 0.5777       | 0.6659   |           
