Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
CDAN_1_2,97.7211,0.3584,0.0288,0.0083,31.1224,0.5681,0.9463,0.1431,"[42, 67, 1024]"
CDAN_1_3,96.3265,0.7358,0.0592,0.0156,36.9048,0.9481,0.8557,0.0353,"[42, 67, 1024]"
CDAN_1_4,97.3469,0.6372,0.0410,0.0133,36.0204,5.3267,0.8453,0.0526,"[42, 67, 1024]"
CDAN_2_3,97.2109,0.0589,0.0336,0.0046,25.1701,0.7793,0.9680,0.0695,"[42, 67, 1024]"
CDAN_2_4,97.0408,0.8896,0.0314,0.0115,25.8163,0.7704,0.9674,0.0611,"[42, 67, 1024]"
CDAN_3_4,96.3946,0.5979,0.0555,0.0055,29.3197,2.8596,0.9714,0.1050,"[42, 67, 1024]"
