Timestamp,Label,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4
1767084123111,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3896,206,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,6796,1760,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,-1006,1350,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,9001,662
1767084123344,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,3759,339,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,6298,415,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,-655,1527,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,,,
1767084123558,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,4111,411,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,6259,428,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,633,1084,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,10010,261
1767084123776,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3837,863,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6767,316,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,-1124,1384,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,10439,0
1767084123970,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3328,2122,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,7275,87,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,-616,1286,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9971,190
1767084124165,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3994,376,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,6337,539,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,-928,2008,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9228,504
1767084124341,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,4033,291,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,6220,623,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,-98,1668,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,9163,602
1767084124568,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3994,273,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6455,438,MCSLab RTT AP3,b0:e4:d5:88:16:86,,,,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,,,
1767084124784,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,4072,187,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,6259,652,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,-1241,1575,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,10244,125
1767084124977,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-68,3955,228,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6142,516,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,672,816,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,10296,336
1767084125214,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,4072,171,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6533,668,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,516,1834,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,10127,266
1767084125420,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,4267,172,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7314,249,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,282,196,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,8766,1413
1767084125608,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,3700,757,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7529,1233,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,-108,1754,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,9814,188
1767084125816,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,4090,525,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,7441,2685,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,-1124,358,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,10000,222
1767084126031,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-63,3994,602,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6885,359,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-616,1261,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,10654,348
1767084126224,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3934,491,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,6884,321,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,360,739,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,9858,656
1767084126446,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,3525,286,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,9580,146,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,1805,605,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,9853,122
1767084126645,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3867,177,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,7002,264,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,633,717,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10469,642
1767084126828,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-74,3681,894,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,7558,756,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,477,631,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10732,141
1767084127056,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,4033,644,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,7793,214,MCSLab RTT AP3,b0:e4:d5:88:16:86,,,,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,,,
1767084127262,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,3544,265,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,7705,549,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,1483,381,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,10146,343
1767084127462,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3808,133,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,8955,287,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,1336,472,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,10518,116
1767084127679,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,3916,1050,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6689,2229,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,1366,243,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,9696,921
1767084127890,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3759,1230,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6416,1611,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,1180,153,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10674,348
1767084128078,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3877,476,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,9492,196,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,1503,368,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9746,663
1767084128305,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3994,1563,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,8642,341,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,1258,138,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10146,315
1767084128515,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4345,1446,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,9111,689,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,1414,702,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9971,317
1767084128719,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3720,1670,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,7998,1795,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,1307,699,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9971,200
1767084128902,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-63,3838,916,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8935,588,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,1483,251,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9883,455
1767084129137,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,4033,1476,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7734,826,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,1395,184,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9853,404
1767084129330,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,3642,1021,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7617,1209,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,-69,865,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10126,216
1767084129543,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-63,3837,1742,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,8935,1025,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,1405,429,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,9736,499
1767084129757,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,4267,1492,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7275,143,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,750,234,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,9775,109
1767084129964,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,4111,641,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6611,281,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,-577,108,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10127,166
1767084130152,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,4150,610,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,7353,591,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,-499,798,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9736,174
1767084130438,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,4306,161,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,7002,683,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,-772,497,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9280,607
1767084130641,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-68,3955,213,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6689,91,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,-1528,1945,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,9912,325
1767084130810,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,3994,127,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6709,229,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,-1006,1432,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,9951,124
1767084131042,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3895,441,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6972,905,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,-811,1104,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9824,348
1767084131265,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3994,304,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6914,1190,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,-811,1306,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9944,416
1767084131463,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4228,251,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,7324,489,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,-1045,1048,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,10156,229
1767084131669,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,4306,787,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,7470,623,MCSLab RTT AP3,b0:e4:d5:88:16:86,-47,58,901,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,10088,332
1767084131872,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,4150,133,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6494,489,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,1102,655,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9775,849
1767084156856,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3017,837,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,6455,387,MCSLab RTT AP3,b0:e4:d5:88:16:86,-40,-787,937,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,10191,1167
1767084157068,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3330,497,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,5791,1707,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,-1358,1091,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,9971,653
