Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
FusionDNN_Only_RTT_2_3,85.9694,1.3976,0.1933,0.0192,31.0941,2.0233,0.9416,0.0238,"[42, 6767, 123456]"
FusionDNN_Only_RTT_2_4,88.2823,0.7523,0.2296,0.0205,23.2086,1.2284,1.1630,0.0381,"[42, 6767, 123456]"
FusionDNN_Only_RTT_3_4,79.8980,1.2554,0.6907,0.0367,20.6406,1.9166,2.5578,0.0372,"[42, 6767, 123456]"
FusionDNN_Only_RTT_1_2_3,94.8810,0.3350,0.0675,0.0065,33.5601,1.9112,0.8329,0.0224,"[42, 6767, 123456]"
FusionDNN_Only_RTT_1_2_4,97.8855,0.1873,0.0287,0.0025,31.7574,2.0700,0.7822,0.0426,"[42, 6767, 123456]"
FusionDNN_Only_RTT_1_3_4,95.4195,0.2702,0.0738,0.0027,30.2041,2.3530,1.1146,0.0164,"[42, 6767, 123456]"
FusionDNN_Only_RTT_2_3_4,96.5646,0.2470,0.0546,0.0015,25.1361,1.0419,0.9427,0.0091,"[42, 6767, 123456]"
FusionDNN_Only_RTT_1_2_3_4,98.7585,0.1640,0.0151,0.0021,26.4569,1.5499,0.8748,0.0358,"[42, 6767, 123456]"

// virtual rtt testing
